symbol,mean_attention_when_active,active_test_days
CCET,0.021155301,234
ITC,0.02109954,119
BEM,0.020987367,234
CPALL,0.020984313,234
BH,0.020946722,234
ADVANC,0.020892728,234
EGCO,0.020830963,234
WHA,0.020822719,234
TOP,0.02080857,234
SCB,0.020796867,234
CPN,0.02079038,234
SCC,0.02078175,234
BGRIM,0.020776806,119
PTTGC,0.020765778,234
KBANK,0.020760015,234
BTS,0.020757176,234
HMPRO,0.020732353,234
TU,0.020715363,234
SCGP,0.020702768,234
BDMS,0.020702153,234
KTC,0.020700796,234
RATCH,0.020683397,234
TRUE,0.02066318,234
GULF,0.020658433,156
GLOBAL,0.020657655,119
OSP,0.02062871,234
CPF,0.020620214,234
KTB,0.020619396,234
BBL,0.020617288,234
DELTA,0.020616459,234
GPSC,0.020612314,234
TISCO,0.020600036,234
PTTEP,0.02058679,234
CBG,0.020581609,234
LH,0.020574214,234
IVL,0.020572245,234
COM7,0.020567067,234
AWC,0.020539308,234
CRC,0.020523941,234
TTB,0.020522239,234
MTC,0.020506654,234
VGI,0.0205054,171
BJC,0.020504968,234
OR,0.020501029,234
MINT,0.02048109,234
PTT,0.020480553,234
TLI,0.020463279,234
BCP,0.020446772,115
AOT,0.02041639,234
SAWAD,0.020405283,119
KKP,0.020354845,115
TIDLOR,0.020322096,115
TCAP,0.020161835,115
BANPU,,0
CENTEL,,0
EA,,0
GULFI,,0
INTUCH,,0
KCE,,0
