symbol,mean_attention_when_active,active_test_days
ITC,0.021422397,119
CCET,0.021401802,234
CPALL,0.021050211,234
SCGP,0.020999938,234
BEM,0.020971868,234
SCB,0.020899886,234
TOP,0.02087352,234
BTS,0.020868372,234
BH,0.02086184,234
WHA,0.020827744,234
SCC,0.020824553,234
BGRIM,0.02078705,119
RATCH,0.020786949,234
EGCO,0.020781863,234
CPN,0.020773659,234
PTTGC,0.020773211,234
ADVANC,0.020767802,234
DELTA,0.02075275,234
KBANK,0.020751374,234
GULF,0.02073778,156
CPF,0.020729672,234
OSP,0.020710578,234
BDMS,0.020696605,234
KTB,0.02068915,234
CRC,0.020688012,234
GPSC,0.020686602,234
TU,0.020665502,234
HMPRO,0.020638177,234
AWC,0.02063634,234
TRUE,0.020635413,234
BBL,0.020610794,234
PTTEP,0.020602703,234
KTC,0.02058842,234
VGI,0.020576065,171
IVL,0.020573081,234
GLOBAL,0.02057123,119
CBG,0.020550031,234
TISCO,0.020526558,234
LH,0.020520292,234
KKP,0.020462032,115
MTC,0.020452494,234
COM7,0.020445047,234
BJC,0.020439856,234
OR,0.020433253,234
TIDLOR,0.02037732,115
TTB,0.020361569,234
AOT,0.020359077,234
PTT,0.020329434,234
MINT,0.020316044,234
TLI,0.020279333,234
SAWAD,0.020258056,119
BCP,0.020194761,115
TCAP,0.01990536,115
BANPU,,0
CENTEL,,0
EA,,0
GULFI,,0
INTUCH,,0
KCE,,0
