worker,fit_seconds,inference_seconds,trainable_parameters,training_sequences,prediction_sequences,features,final_training_loss,phase,split,feature_mode,shap_seconds
cnn_trend,3.132370899998932,0.2893466000095941,2633,103,34,30,0.6387386918067932,worker_fit,crossfit_1,shap,
lstm_price,3.8326382000086596,0.04425800000899471,3162,103,34,30,0.7342681288719177,worker_fit,crossfit_1,shap,
cnn_trend,2.6908086000039475,0.24171040000510402,9993,103,34,122,0.6508476734161377,worker_fit,crossfit_1,all_features,
lstm_price,3.517890900009661,0.051485599993611686,9050,103,34,122,0.6776300072669983,worker_fit,crossfit_1,all_features,
cnn_trend,2.815647600000375,0.2930424999940442,2633,137,34,30,0.6540497541427612,worker_fit,crossfit_2,shap,
lstm_price,3.5901708000019426,0.05241189998923801,3162,137,34,30,0.6949070692062378,worker_fit,crossfit_2,shap,
cnn_trend,2.9804050999955507,0.2844918000046164,9993,137,34,122,0.6090331077575684,worker_fit,crossfit_2,all_features,
lstm_price,3.4242286999942735,0.05229349998990074,9050,137,34,122,0.594389796257019,worker_fit,crossfit_2,all_features,
cnn_trend,2.6298565000033705,0.2879345999972429,2633,171,34,30,0.6399886012077332,worker_fit,crossfit_3,shap,
lstm_price,3.3572111999965273,0.05213280000316445,3162,171,34,30,0.7006170749664307,worker_fit,crossfit_3,shap,
cnn_trend,3.117424600000959,0.2824172999971779,9993,171,34,122,0.6228950619697571,worker_fit,crossfit_3,all_features,
lstm_price,3.884801399995922,0.05715500000223983,9050,171,34,122,0.6060987114906311,worker_fit,crossfit_3,all_features,
cnn_trend,3.211187799999607,0.26879850000841543,2633,225,243,30,0.669552206993103,worker_fit,final_train,shap,
lstm_price,3.9171790999971563,0.05568070001027081,3162,225,243,30,0.7498874664306641,worker_fit,final_train,shap,
cnn_trend,3.744547700000112,0.31147599998803344,9993,225,243,122,0.6406933665275574,worker_fit,final_train,all_features,
lstm_price,4.2946177999983774,0.05408110001008026,9050,225,243,122,0.6688819527626038,worker_fit,final_train,all_features,
debate_leader,3.0884706000069855,0.019148799998220056,50,102,243,9,0.7010566592216492,leader_fit,oof_to_inner_validation,leader_no_disagreement_shap,0.0
debate_leader,3.110767999998643,0.021347800007788464,50,102,243,9,0.6980857849121094,leader_fit,oof_to_inner_validation,pit_tldn_all_features,0.0
debate_leader,3.1740656000038143,0.020927999998093583,50,102,243,9,0.6957793235778809,leader_fit,oof_to_inner_validation,pit_tldn,0.0
