variant,test_year,observations,direction_evaluable,direction_accuracy,balanced_accuracy,mcc,predicted_up_share,tn,fp,fn,tp,rmse,mae,mape,r2,brier_score,binary_crossentropy
attention_control,2024,244,244,0.47540983606557374,0.4846221145433744,-0.03442685688814103,0.7254098360655737,33,94,34,83,16.133914919440965,13.87187001300052,1.6152919968928374,0.8657698867218361,0.3669229869475216,1.123322496361572
attention_control,2025,234,234,0.49572649572649574,0.4978070175438597,-0.00444350537315571,0.5811965811965812,50,70,48,66,15.861614991446727,12.623689909145995,1.611652504629139,0.9028789171018774,0.33495522003720873,0.9869617784023433
direction_consistency,2024,244,244,0.5040983606557377,0.5007402920788747,0.0014996283132999665,0.4180327868852459,74,53,68,49,17.200902720828555,13.281992826454955,1.5233407367484912,0.847428677296777,0.35486201219596786,1.195382114183195
direction_consistency,2025,234,234,0.5128205128205128,0.5166666666666666,0.03492151478847891,0.6495726495726496,44,76,38,76,16.063034952967485,12.808815402496254,1.6328689552824054,0.9003966565781657,0.31563985164236946,0.9040093164287787
fcta_lstm,2024,244,244,0.5081967213114754,0.5013123359580053,0.0027844120465423034,0.3319672131147541,85,42,78,39,17.453783411367112,13.60485316247579,1.561989059649255,0.8429096176829098,0.3570330262258973,1.2406053839556097
fcta_lstm,2025,234,234,0.49145299145299143,0.49605263157894736,-0.008455737902493803,0.6794871794871795,38,82,37,77,16.203975931984672,12.788096352985328,1.6350864494574908,0.8986411004162347,0.31759940658702723,0.9301519607236939
mask_augmentation,2024,244,244,0.5245901639344263,0.518742849451511,0.039097676719205804,0.35655737704918034,84,43,73,44,17.108214786756466,13.379769630106273,1.5357951489919612,0.8490685237373073,0.3524751266437396,1.196658330047268
mask_augmentation,2025,234,234,0.5170940170940171,0.5199561403508772,0.040922379553556744,0.6111111111111112,49,71,42,72,16.02656459513622,12.761784242112284,1.6264839213927487,0.900848432447181,0.3097265545882582,0.8894306972137358
