variant,balanced_accuracy_mean,balanced_accuracy_std,direction_accuracy_mean,mcc_mean,rmse_mean,mae_mean,brier_score_mean,binary_crossentropy_mean,predicted_up_share_mean,years,attention_counterfactual_jsd_mean,top1_deletion_agreement_mean,top_attention_influence_lift_mean,attention_influence_correlation_mean
mask_augmentation,0.5193494949011941,0.0008579262224938228,0.5208420905142217,0.04001002813638127,16.567389690946342,13.07077693610928,0.33110084061599887,1.0430445136305018,0.48383424408014575,2,0.021616543441929252,0.9615174443043296,2.8856823533504303,0.9261205740251421
direction_consistency,0.5087034793727707,0.011261647470744712,0.5084594367381252,0.018210571550889437,16.631968836898018,13.045404114475605,0.33525093191916866,1.049695715305987,0.5338027182289478,2,0.018427029206891758,0.9515973097940311,2.7667362209088386,0.9320508589688725
fcta_lstm,0.49868248376847635,0.0037191726334684597,0.4998248563822334,-0.00283566292797575,16.828879671675892,13.19647475773056,0.33731621640646225,1.085378672339652,0.5057271963009669,2,0.02199239541589532,0.9550896735322965,2.8944141079836125,0.9250721684832331
attention_control,0.491214566043617,0.009323134320930036,0.48556816589603474,-0.01943518113064837,15.997764955443845,13.247779961073256,0.3509391034923652,1.0551421373819576,0.6533032086310775,2,0.0173815953555296,0.9598290598290597,2.798973688154,0.9340953949169519
