variant,attention_counterfactual_jsd,top1_deletion_agreement,top_attention_influence_lift,attention_influence_correlation
attention_control,0.0173815953555296,0.9598290598290597,2.798973688154,0.9340953949169519
direction_consistency,0.018427029206891758,0.9515973097940311,2.7667362209088386,0.9320508589688725
fcta_lstm,0.02199239541589532,0.9550896735322965,2.8944141079836125,0.9250721684832331
mask_augmentation,0.021616543441929252,0.9615174443043296,2.8856823533504303,0.9261205740251421
