rank,model_key,model,balanced_accuracy_mean,balanced_accuracy_std,direction_accuracy_mean,direction_accuracy_std,mcc_mean,rmse_mean,mae_mean,test_years
1,lstm_attention,LSTM-Attention,0.5370310302811339,0.001593626996218828,0.5272523469244781,0.003764895290050258,0.0926262084167657,21.48144730041043,16.54016524239362,2
2,lstm_cnn_attention,LSTM-CNN-Attention,0.5312166824288664,0.0007282182219175946,0.5188804819952362,0.003517204810441676,0.09226480927727715,35.1213701535567,28.999680489196898,2
3,lstm,LSTM,0.5308146135073196,0.0017012004188545317,0.5230664144598571,0.003641050050245987,0.06984903996811437,18.31273038737942,14.557675280348194,2
4,cnn,CNN,0.5263197078857046,0.022025094745213712,0.5226285554154406,0.02595796226297821,0.054333331265279956,24.05959612073876,18.459167116456605,2
5,lstm_cnn,LSTM-CNN,0.5248758284010046,0.037701886090752305,0.513170800056046,0.04181015295792667,0.06805938681635641,29.01353350452382,23.362700247847457,2
6,fcta_lstm,FCTA-LSTM,0.49868248376847635,0.0037191726334684597,0.4998248563822334,0.011839604925289682,-0.00283566292797575,16.828879671675892,13.19647475773056,2
