Date,Open_D,High_D,Low_D,Close_D,Volume_D,Change_pct_D,Open_W,High_W,Low_W,Close_W,Volume_W,Change_pct_W,Open_M,High_M,Low_M,Close_M,Volume_M,Change_pct_M,Close_D_lag1,Close_D_lag2,Close_D_lag3,Close_D_lag5,Close_D_lag10,Close_D_lag20,Close_D_lag60,Change_pct_D_lag1,Change_pct_D_lag2,Change_pct_D_lag3,Change_pct_D_lag5,Change_pct_D_lag10,Change_pct_D_lag20,Volume_D_lag1,Volume_D_lag2,Volume_D_lag3,Volume_D_lag5,Volume_D_lag10,Volume_D_lag20,Close_W_lag1,Close_W_lag2,Close_W_lag4,Close_M_lag1,Close_M_lag3,Return_1D,Return_3D,Return_5D,Return_10D,Return_20D,Return_60D,SMA_5,SMA_10,SMA_20,SMA_60,Close_to_SMA_5,Close_to_SMA_10,Close_to_SMA_20,Close_to_SMA_60,Volatility_5,Volatility_10,Volatility_20,Volatility_60,Momentum_5,Momentum_10,Momentum_20,Momentum_60,ROC_5,ROC_10,ROC_20,ROC_60,Ratio_Close_D_to_W,Ratio_Close_D_to_M,Ratio_Volume_D_to_W,Spread_D,Body_D,Body_abs_D,Upper_Shadow_D,Lower_Shadow_D,Body_to_Range_D,Close_Position_D,Spread_W,Body_W,Close_Position_W,Spread_M,Body_M,Close_Position_M,Volume_MA_5,Volume_MA_20,Volume_Ratio_5,Volume_Ratio_20,Volume_Change_1D,Volume_Change_5D,Volume_Change_20D,Direction_lag1,Direction_lag2,Direction_lag3,Direction_lag5,Up_Ratio_5,Up_Ratio_10,Up_Ratio_20,Down_Ratio_5,Down_Ratio_10,Down_Ratio_20,Target_Next_Close
2012-05-03,872.92,879.5,869.33,872.75,1080000000.0,0.09,842.38,852.48,832.56,850.11,4540000000.0,1.27,842.04,863.82,808.06,863.82,12910000000.0,2.48,871.94,863.82,850.11,842.33,818.87,849.34,759.16,0.94,1.61,0.21,0.01,0.72,-0.02,811380000.0,852670000.0,531960000.00000006,854770000.0,632290000.0,716130000.0,850.11,850.11,839.45,863.82,842.91,0.0009289630020412609,0.02663184764324611,0.03611411204634751,0.06579798991292884,0.027562578001742555,0.14962590231308304,861.3880000000001,849.832,839.863,819.9915,0.013190339312829868,0.02696768302440944,0.03915757689051658,0.06434030108848687,0.006118785912333761,0.007130632192017839,0.010287446230964318,0.009305935968547074,30.41999999999996,53.879999999999995,23.409999999999968,113.59000000000003,0.03611411204634758,0.06579798991292879,0.027562578001742492,0.14962590231308293,1.026631847643246,1.0103378018568683,0.23788546255506607,10.169999999999959,-0.16999999999995907,0.16999999999995907,6.580000000000041,3.419999999999959,0.016715830875118954,0.33628318584070527,19.920000000000073,7.730000000000018,0.8810240963855424,55.760000000000105,21.780000000000086,1.0,815076000.0,783062000.0,1.3250298131707963,1.3792011360530838,0.33106559195444807,0.263497783029353,0.5081060701269322,1.0,1.0,1.0,1.0,1.0,0.9,0.65,0.0,0.1,0.35,861.93
2012-05-04,872.66,872.66,861.01,861.93,1150000000.0,-1.24,842.38,852.48,832.56,850.11,4540000000.0,1.27,842.04,863.82,808.06,863.82,12910000000.0,2.48,872.75,871.94,863.82,848.32,832.66,842.91,763.4,0.09,0.94,1.61,0.71,1.68,-0.76,1080000000.0,811380000.0,852670000.0,799370000.0,652360000.0,855680000.0,850.11,850.11,839.45,863.82,842.91,-0.012397593812661145,-0.0021879558241301167,0.01604347416069385,0.03515240314173851,0.022564686621347363,0.1290673303641603,864.11,852.759,840.8140000000001,821.6336666666667,-0.0025228269549016913,0.010754503910248792,0.025113758809915065,0.049044160394271286,0.010667495827521578,0.008282394555217067,0.010562195681149215,0.00948839669602705,13.6099999999999,29.269999999999982,19.019999999999982,98.52999999999997,0.01604347416069396,0.0351524031417385,0.022564686621347453,0.1290673303641603,1.0139040830010233,0.9978120441758699,0.2533039647577093,11.649999999999977,-10.730000000000018,10.730000000000018,0.0,0.9199999999999591,0.9210300429184582,0.07896995708154171,19.920000000000073,7.730000000000018,0.8810240963855424,55.760000000000105,21.780000000000086,1.0,885202000.0,797778000.0,1.2991385017205113,1.441503776739895,0.06481481481481488,0.43863292342719884,0.34396035901271493,1.0,1.0,1.0,1.0,0.8,0.8,0.65,0.2,0.2,0.35,864.17
2012-05-08,856.98,865.44,854.85,864.17,1160000000.0,0.26,855.09,879.5,854.89,861.93,3900000000.0,1.39,842.04,863.82,808.06,863.82,12910000000.0,2.48,861.93,872.75,871.94,850.11,839.45,843.87,768.96,-1.24,0.09,0.94,0.21,0.82,0.11,1150000000.0,1080000000.0,811380000.0,531960000.00000006,974840000.0,448470000.0,850.11,850.11,850.11,863.82,863.82,0.002598818929611557,-0.008911163612175255,0.01653903612473684,0.029447852760736026,0.02405583798452371,0.1238165834373699,866.9219999999999,855.231,841.8290000000001,823.2205,-0.0031744493737613233,0.010452146846875232,0.026538643833842634,0.0497430518311921,0.010656858265572972,0.008119594765774136,0.010567018154654682,0.009464010083896454,14.059999999999945,24.719999999999914,20.299999999999955,95.20999999999992,0.016539036124736735,0.029447852760736092,0.02405583798452363,0.12381658343736984,1.0025988189296116,1.0004051770044684,0.29743589743589743,10.590000000000032,7.189999999999941,7.189999999999941,1.2700000000000955,2.1299999999999955,0.6789423984891331,0.8800755429650527,24.610000000000014,6.839999999999918,0.2860625761885396,55.760000000000105,21.780000000000086,1.0,1010810000.0,833354500.0,1.1475945034180508,1.39196464409804,0.008695652173912993,1.1806150838408902,1.586572122995964,-1.0,1.0,1.0,1.0,0.8,0.8,0.65,0.2,0.2,0.35,845.27
2012-05-09,858.92,860.91,845.27,845.27,1620000000.0,-2.19,855.09,879.5,854.89,861.93,3900000000.0,1.39,842.04,863.82,808.06,863.82,12910000000.0,2.48,864.17,861.93,872.75,863.82,834.68,853.51,765.82,0.26,-1.24,0.09,1.61,-0.57,1.14,1160000000.0,1150000000.0,1080000000.0,852670000.0,1470000000.0,703850000.0,861.93,850.11,850.11,863.82,863.82,-0.02187069673791031,-0.03148668003437416,-0.021474381236831874,0.012687497004840287,-0.009654251268292113,0.10374500535373832,863.2119999999999,856.29,841.417,824.5446666666667,-0.02078516053993673,-0.012869471791098763,0.0045791801211527705,0.025135488920349447,0.012618676535454034,0.011096769032097562,0.01146322055986238,0.009924890118556656,-18.550000000000068,10.590000000000032,-8.240000000000009,79.44999999999993,-0.021474381236831826,0.012687497004840217,-0.009654251268292122,0.10374500535373839,0.9806712842110149,0.9785256187631681,0.4153846153846154,15.639999999999986,-13.649999999999977,13.649999999999977,1.990000000000009,0.0,0.8727621483375952,0.0,24.610000000000014,6.839999999999918,0.2860625761885396,55.760000000000105,21.780000000000086,1.0,1164276000.0,879162000.0,1.3914226523607804,1.8426638094003154,0.39655172413793105,0.8999143865739383,1.3016267670668467,1.0,-1.0,1.0,1.0,0.6,0.8,0.6,0.4,0.2,0.4,832.43
2012-05-10,840.01,840.65,828.49,832.43,1770000000.0,-1.52,855.09,879.5,854.89,861.93,3900000000.0,1.39,842.04,863.82,808.06,863.82,12910000000.0,2.48,845.27,864.17,861.93,871.94,842.26,843.26,770.95,-2.19,0.26,-1.24,0.94,0.91,-1.2,1620000000.0,1160000000.0,1150000000.0,811380000.0,885590000.0,706340000.0,861.93,861.93,850.11,863.82,863.82,-0.01519041253090736,-0.03422551715336508,-0.04531275087735409,-0.011670980457341051,-0.012843014017029253,0.0797457682080549,855.3099999999998,855.307,840.8754999999999,825.5693333333332,-0.026750534893781097,-0.026747121209109825,-0.010043698502334664,0.008310224701499003,0.010588475687726296,0.011839461122388813,0.011652956590071073,0.010137857900449545,-39.510000000000105,-9.830000000000041,-10.830000000000041,61.479999999999905,-0.04531275087735406,-0.011670980457341011,-0.012843014017029197,0.07974576820805487,0.9657744828466349,0.9636614109420943,0.45384615384615384,12.159999999999968,-7.580000000000041,7.580000000000041,0.6399999999999864,3.939999999999941,0.6233552631578997,0.32401315789473284,24.610000000000014,6.839999999999918,0.2860625761885396,55.760000000000105,21.780000000000086,1.0,1356000000.0,932345000.0,1.3053097345132743,1.89843888260247,0.09259259259259256,1.1814686090364566,1.5058753574765693,-1.0,1.0,-1.0,1.0,0.4,0.7,0.6,0.6,0.3,0.4,833.65
2012-05-11,830.0,836.72,823.56,833.65,1880000000.0,0.15,855.09,879.5,854.89,861.93,3900000000.0,1.39,842.04,863.82,808.06,863.82,12910000000.0,2.48,832.43,845.27,864.17,872.75,842.33,831.74,783.39,-1.52,-2.19,0.26,0.09,0.01,-1.37,1770000000.0,1620000000.0,1160000000.0,1080000000.0,854770000.0,760320000.0,861.93,861.93,850.11,863.82,863.82,0.0014655886981487232,-0.03531712510269969,-0.04480091664279584,-0.010304749919865186,0.0022963906990165484,0.06415706097856755,847.49,854.439,840.9709999999999,826.4069999999999,-0.016330576171990296,-0.02433058416106937,-0.008705413147421126,0.008764446574145657,0.010718555629347542,0.011862987864868797,0.01124302058705123,0.009949884422620042,-39.10000000000002,-8.680000000000064,1.9099999999999682,50.25999999999999,-0.044800916642795785,-0.01030474991986521,0.002296390699016481,0.06415706097856749,0.9671899110136555,0.9650737422148132,0.48205128205128206,13.160000000000082,3.6499999999999773,3.6499999999999773,3.07000000000005,6.440000000000055,0.2773556231003005,0.7667173252279612,24.610000000000014,6.839999999999918,0.2860625761885396,55.760000000000105,21.780000000000086,1.0,1516000000.0,988329000.0,1.2401055408970976,1.9022005830042426,0.062146892655367214,0.7407407407407407,1.4726430976430978,-1.0,-1.0,1.0,1.0,0.4,0.7,0.65,0.6,0.3,0.35,815.21
2012-05-14,833.13,840.65,810.36,815.21,1180000000.0,-2.21,856.98,865.44,823.56,833.65,6440000000.0,-3.28,842.04,863.82,808.06,863.82,12910000000.0,2.48,833.65,832.43,845.27,861.93,848.32,819.57,784.72,0.15,-1.52,-2.19,-1.24,0.71,-1.46,1880000000.0,1770000000.0,1620000000.0,1150000000.0,799370000.0,697780000.0,861.93,861.93,861.93,863.82,863.82,-0.02211959455406942,-0.035562601298993135,-0.05420393767475307,-0.03903008298755184,-0.0053198628549117055,0.0388546233051279,838.146,851.1279999999999,840.753,826.9151666666666,-0.027365160723787918,-0.042200468084706344,-0.03038109884829432,-0.014155220678622404,0.012244315627102882,0.013178400603044652,0.011869248290433012,0.010390398750697543,-46.719999999999914,-33.110000000000014,-4.360000000000014,30.49000000000001,-0.054203937674753074,-0.03903008298755188,-0.0053198628549117385,0.038854623305127955,0.9778804054459306,0.9437267023222431,0.18322981366459629,30.289999999999964,-17.91999999999996,17.91999999999996,7.519999999999982,4.850000000000023,0.5916143941895008,0.1601188511059765,41.88000000000011,-23.33000000000004,0.24092645654250253,55.760000000000105,21.780000000000086,1.0,1522000000.0,1012440000.0,0.7752956636005256,1.1655011655011656,-0.37234042553191493,0.026086956521739202,0.6910774169509015,1.0,-1.0,-1.0,-1.0,0.4,0.6,0.65,0.6,0.4,0.35,830.41
2012-05-15,814.32,830.41,810.58,830.41,733550000.0,1.86,856.98,865.44,823.56,833.65,6440000000.0,-3.28,842.04,863.82,808.06,863.82,12910000000.0,2.48,815.21,833.65,832.43,864.17,850.11,810.76,781.21,-2.21,0.15,-1.52,0.26,0.21,-1.07,1180000000.0,1880000000.0,1770000000.0,1160000000.0,531960000.00000006,834390000.0,833.65,861.93,861.93,863.82,863.82,0.018645502385888246,-0.002426630467426638,-0.03906638740062718,-0.02317347166837236,0.024236518821846076,0.06297922453629612,831.3939999999999,849.158,841.7355,827.7351666666667,-0.0011835543677244376,-0.022078341133216717,-0.013454939229722407,0.0032315086286656136,0.017627168330724353,0.01493577065349108,0.012306031254505448,0.010621821832247814,-33.75999999999999,-19.700000000000045,19.649999999999977,49.19999999999993,-0.039066387400627185,-0.023173471668372383,0.024236518821846142,0.06297922453629617,0.996113476878786,0.9613229608020188,0.11390527950310558,19.829999999999927,16.089999999999918,16.089999999999918,0.0,3.740000000000009,0.8113968734241037,1.0,41.88000000000011,-23.33000000000004,0.24092645654250253,55.760000000000105,21.780000000000086,1.0,1436710000.0,1007398000.0,0.5105762471201565,0.7281630497578911,-0.37834745762711863,-0.3676293103448276,-0.12085475616917751,-1.0,1.0,-1.0,1.0,0.4,0.6,0.7,0.6,0.4,0.3,820.4
2012-05-16,815.94,820.4,805.66,820.4,1100000000.0,-1.21,856.98,865.44,823.56,833.65,6440000000.0,-3.28,842.04,863.82,808.06,863.82,12910000000.0,2.48,830.41,815.21,833.65,845.27,863.82,821.45,784.08,1.86,-2.21,0.15,-2.19,1.61,1.32,733550000.0,1180000000.0,1880000000.0,1620000000.0,852670000.0,469120000.0,833.65,833.65,861.93,863.82,863.82,-0.012054286436820383,-0.015893960295087828,-0.0294225513741172,-0.0502651015257809,-0.0012782275244994645,0.046321803897561464,826.4199999999998,844.816,841.683,828.3405,-0.007284431644926204,-0.02890096778470108,-0.02528624196995788,-0.009586033762685853,0.0161553679660807,0.013691720480307853,0.012313997747661233,0.010749876507508775,-24.870000000000005,-43.42000000000007,-1.0500000000000682,36.319999999999936,-0.029422551374117152,-0.05026510152578092,-0.001278227524499444,0.04632180389756139,0.9841060397049122,0.9497348984742191,0.17080745341614906,14.740000000000009,4.459999999999923,4.459999999999923,0.0,10.280000000000086,0.302578018995924,1.0,41.88000000000011,-23.33000000000004,0.24092645654250253,55.760000000000105,21.780000000000086,1.0,1332710000.0,1038942000.0,0.8253858678932401,1.0587694019492908,0.49955694908322545,-0.32098765432098764,1.3448158253751705,1.0,-1.0,1.0,-1.0,0.4,0.5,0.65,0.6,0.5,0.35,821.87
2012-05-17,821.96,826.24,815.84,821.87,967990000.0,0.18,856.98,865.44,823.56,833.65,6440000000.0,-3.28,842.04,863.82,808.06,863.82,12910000000.0,2.48,820.4,830.41,815.21,832.43,871.94,813.0,776.12,-1.21,1.86,-2.21,-1.52,0.94,-1.03,1100000000.0,733550000.0,1180000000.0,1770000000.0,811380000.0,640060000.0,833.65,833.65,861.93,863.82,863.82,0.0017918088737201021,0.008169674071711652,-0.012685751354468144,-0.05742367594100517,0.01091020910209095,0.05894707004071531,824.308,839.809,842.1265,829.103,-0.002957632341309302,-0.021360809422142357,-0.024053987138511812,-0.008723885934558084,0.015471588300239859,0.01299248759242004,0.01207641567927076,0.010653564907348954,-10.559999999999945,-50.07000000000005,8.870000000000005,45.75,-0.012685751354468179,-0.05742367594100517,0.010910209102091027,0.05894707004071535,0.985869369639537,0.9514366418929869,0.15030900621118012,10.399999999999977,-0.09000000000003183,0.09000000000003183,4.279999999999973,6.029999999999973,0.008653846153849233,0.5798076923076909,41.88000000000011,-23.33000000000004,0.24092645654250253,55.760000000000105,21.780000000000086,1.0,1172308000.0,1055338500.0,0.8257130378705937,0.9172317697118034,-0.12000909090909095,-0.4531129943502825,0.5123425928819174,-1.0,1.0,-1.0,-1.0,0.6,0.5,0.7,0.4,0.5,0.3,806.71
