model,fold,test_year,base_seed,arm,window,models_in_arm,unique_fits_executed_when_reached,identical_fits_reused_when_reached,conceptual_fit_seconds,conceptual_inference_seconds,conceptual_trainable_parameters,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
lstm_cnn,fold_1,2022,42,Global-All,20,1,1,0,16.99209329999576,0.5851544000033755,10737,241,23.666640152261344,18.28730725327962,1.8605137290501899,-0.13073866565694425,0.48333333333333334,0.49364064366523785,-0.012882702557059372,1.0,240,1,0,63,44,80,53,0.4041666666666667
lstm_cnn,fold_1,2022,42,Global3-All,20,3,3,0,48.69317170001159,2.070130199979758,32211,241,22.945436073337056,17.94570138838281,1.8265700051790938,-0.06287369736103021,0.48333333333333334,0.48998664886515353,-0.02006622219420649,1.0,240,1,0,59,48,76,57,0.4375
lstm_cnn,fold_1,2022,42,Global-SHAP,20,1,0,1,16.99209329999576,0.5851544000033755,10737,241,23.666640152261344,18.28730725327962,1.8605137290501899,-0.13073866565694425,0.48333333333333334,0.49364064366523785,-0.012882702557059372,1.0,240,1,0,63,44,80,53,0.4041666666666667
lstm_cnn,fold_1,2022,42,Global-Spearman,20,1,0,1,16.99209329999576,0.5851544000033755,10737,241,23.666640152261344,18.28730725327962,1.8605137290501899,-0.13073866565694425,0.48333333333333334,0.49364064366523785,-0.012882702557059372,1.0,240,1,0,63,44,80,53,0.4041666666666667
lstm_cnn,fold_1,2022,42,Regime-All,20,3,3,0,24.789720400003716,2.1493676000100095,32211,241,19.1744549519026,15.890445047889015,1.6182258526953124,0.25777584568561074,0.5416666666666666,0.5234347551120793,0.04957715955507133,1.0,240,1,0,38,69,41,92,0.6708333333333333
lstm_cnn,fold_1,2022,42,Regime-SHAP,20,3,2,1,25.527973900010693,1.9784051000024192,23635,241,17.056087174622334,13.73274711523808,1.3956217624477865,0.41271644178861144,0.5416666666666666,0.531656243412269,0.06412881217630108,1.0,240,1,0,47,60,50,83,0.5958333333333333
lstm_cnn,fold_1,2022,42,Regime-Spearman,20,3,2,1,25.462314200005494,1.867993399995612,23635,241,15.262316868334903,12.28754157099981,1.2508309487363536,0.5297487484615775,0.5375,0.5324643384161338,0.06487172084240081,1.0,240,1,0,52,55,56,77,0.55
