stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,runtime_seconds,news_start_year
track_b_fusion,cnn,technical_vmd,5,42,fold_1,2019,2021,2022,728,241,16.387532719021056,13.203536850377242,1.344623251225456,0.45785410736547305,0.48132780082987553,2.9078319000000192,2019
track_b_fusion,cnn,technical_vmd,5,42,fold_2,2019,2022,2023,969,243,16.374467373167548,13.506783437586616,1.4551828335960497,0.8645671162177445,0.5308641975308642,3.5100967000000765,2019
track_b_fusion,cnn,technical_vmd,5,123,fold_1,2019,2021,2022,728,241,13.161567353531353,10.629429954156842,1.085539512678076,0.6502930613084072,0.42738589211618255,3.0863772000000154,2019
track_b_fusion,cnn,technical_vmd,5,123,fold_2,2019,2022,2023,969,243,13.189326474897074,10.618283541178014,1.1495526454073492,0.9121311386685323,0.5185185185185185,3.7671141999999236,2019
track_b_fusion,cnn,technical_vmd,5,456,fold_1,2019,2021,2022,728,241,17.272606603184816,13.775624396217331,1.4027508004727816,0.39771119373766395,0.5186721991701245,3.1075296999999864,2019
track_b_fusion,cnn,technical_vmd,5,456,fold_2,2019,2022,2023,969,243,17.310204550862363,13.66995365776642,1.4822482315092484,0.8486459099762532,0.51440329218107,3.7094227000000046,2019
track_b_fusion,cnn,technical_vmd,5,789,fold_1,2019,2021,2022,728,241,33.93832166082627,30.30449336019289,3.0796396844126757,-1.3252505258733644,0.5643153526970954,3.302964700000075,2019
track_b_fusion,cnn,technical_vmd,5,789,fold_2,2019,2022,2023,969,243,17.713980925987986,14.169984740504503,1.5373842662723098,0.8415026129230526,0.5596707818930041,3.4372763000001214,2019
track_b_fusion,cnn,technical_vmd,5,2025,fold_1,2019,2021,2022,728,241,18.285482192658687,15.034077616148483,1.532438421851885,0.32500296864726075,0.44813278008298757,3.234135300000162,2019
track_b_fusion,cnn,technical_vmd,5,2025,fold_2,2019,2022,2023,969,243,14.827165913210358,12.067293905260136,1.3016236097037548,0.8889531979581732,0.551440329218107,3.591908999999987,2019
track_b_fusion,cnn,technical_vmd_news,5,42,fold_1,2019,2021,2022,728,241,34.64840158387833,30.448643175140905,3.0854540684594705,-1.4235692686547528,0.5311203319502075,3.0138019999999415,2019
track_b_fusion,cnn,technical_vmd_news,5,42,fold_2,2019,2022,2023,969,243,20.106602718932628,16.432851369542814,1.7614900668878237,0.7957946314880032,0.5267489711934157,3.4119516999999178,2019
track_b_fusion,cnn,technical_vmd_news,5,123,fold_1,2019,2021,2022,728,241,30.2143806513511,25.118559147772487,2.5437506274373285,-0.8429621708041934,0.46887966804979253,3.420961000000034,2019
track_b_fusion,cnn,technical_vmd_news,5,123,fold_2,2019,2022,2023,969,243,18.594648760491022,14.989560126645063,1.6246888691322254,0.8253511540936803,0.49794238683127573,3.6244793999999274,2019
track_b_fusion,cnn,technical_vmd_news,5,456,fold_1,2019,2021,2022,728,241,16.979086305397676,13.502260259919122,1.3729171435594247,0.41800713555433344,0.5186721991701245,3.519128599999931,2019
track_b_fusion,cnn,technical_vmd_news,5,456,fold_2,2019,2022,2023,969,243,16.67906581377938,13.29852924623607,1.432547467612928,0.8594815966871493,0.5473251028806584,3.4909485000000586,2019
track_b_fusion,cnn,technical_vmd_news,5,789,fold_1,2019,2021,2022,728,241,17.317383634436922,13.77476438646987,1.4060620970334825,0.39458443217977246,0.5269709543568465,3.2876174999998966,2019
track_b_fusion,cnn,technical_vmd_news,5,789,fold_2,2019,2022,2023,969,243,16.744027731388776,13.496594911416373,1.4498261916520063,0.858384878002831,0.5473251028806584,3.53035890000001,2019
track_b_fusion,cnn,technical_vmd_news,5,2025,fold_1,2019,2021,2022,728,241,18.485765936005972,15.071622496531734,1.53551114729527,0.31013529226262304,0.4979253112033195,3.415129900000011,2019
track_b_fusion,cnn,technical_vmd_news,5,2025,fold_2,2019,2022,2023,969,243,14.564906425631762,11.731777525487745,1.2630710689377203,0.892846796564263,0.5349794238683128,3.2879917999998725,2019
track_b_fusion,lstm,technical_vmd,5,42,fold_1,2019,2021,2022,728,241,24.204725422469593,19.335021777761455,1.9736916746787958,-0.1827401748778863,0.5145228215767634,4.314337999999907,2019
track_b_fusion,lstm,technical_vmd,5,42,fold_2,2019,2022,2023,969,243,17.196820557885427,12.926616812978766,1.381764100441414,0.8506221924931262,0.522633744855967,4.582395599999927,2019
track_b_fusion,lstm,technical_vmd,5,123,fold_1,2019,2021,2022,728,241,29.992892342897274,26.37485770659826,2.6874219664495587,-0.8160413193600706,0.44398340248962653,3.9339482000000316,2019
track_b_fusion,lstm,technical_vmd,5,123,fold_2,2019,2022,2023,969,243,11.01551479772988,8.893979214184556,0.9538868058289534,0.9387086258877325,0.5390946502057613,4.6714322999998785,2019
track_b_fusion,lstm,technical_vmd,5,456,fold_1,2019,2021,2022,728,241,13.900996721425951,11.036405221243607,1.1237680056191037,0.6098955449345385,0.5103734439834025,4.136760800000047,2019
track_b_fusion,lstm,technical_vmd,5,456,fold_2,2019,2022,2023,969,243,16.78008900954786,13.679574444024189,1.4728411138754973,0.8577742338234859,0.51440329218107,4.829617100000178,2019
track_b_fusion,lstm,technical_vmd,5,789,fold_1,2019,2021,2022,728,241,14.62137873031585,11.325837057734939,1.156655975547774,0.5684156565920293,0.5062240663900415,4.067282100000057,2019
track_b_fusion,lstm,technical_vmd,5,789,fold_2,2019,2022,2023,969,243,16.717091063522922,13.449150593290613,1.4412320122572686,0.8588401533044702,0.5349794238683128,4.825493099999903,2019
track_b_fusion,lstm,technical_vmd,5,2025,fold_1,2019,2021,2022,728,241,34.24102462137252,30.675265339227177,3.129713184630319,-1.366914292468096,0.44398340248962653,4.320468699999992,2019
track_b_fusion,lstm,technical_vmd,5,2025,fold_2,2019,2022,2023,969,243,14.4006442117407,11.52628135689002,1.2339654057070875,0.8952501034034601,0.5432098765432098,4.632649399999991,2019
track_b_fusion,lstm,technical_vmd_news,5,42,fold_1,2019,2021,2022,728,241,13.965672215412908,11.06409003649015,1.1249272131054004,0.6062571164681625,0.5103734439834025,4.230891600000177,2019
track_b_fusion,lstm,technical_vmd_news,5,42,fold_2,2019,2022,2023,969,243,15.533208153843795,12.137059592459924,1.2968641332647308,0.8781257136181694,0.5473251028806584,5.185540299999957,2019
track_b_fusion,lstm,technical_vmd_news,5,123,fold_1,2019,2021,2022,728,241,24.368624809340584,19.018716674533653,1.9420653987445968,-0.19881197105763038,0.4854771784232365,4.25639369999999,2019
track_b_fusion,lstm,technical_vmd_news,5,123,fold_2,2019,2022,2023,969,243,15.04083361806823,12.203359847475973,1.3093714033756925,0.8857296452001974,0.5925925925925926,4.303017299999965,2019
track_b_fusion,lstm,technical_vmd_news,5,456,fold_1,2019,2021,2022,728,241,14.998811808902971,11.882565773013212,1.209967539101069,0.5458464217476031,0.5186721991701245,4.294349900000043,2019
track_b_fusion,lstm,technical_vmd_news,5,456,fold_2,2019,2022,2023,969,243,13.779870335358469,11.516196756676901,1.2345565335010544,0.9040864371907209,0.5390946502057613,4.549421300000176,2019
track_b_fusion,lstm,technical_vmd_news,5,789,fold_1,2019,2021,2022,728,241,22.82819620867518,19.23264522505991,1.9633267829306498,-0.05203992482172448,0.5020746887966805,4.348443599999882,2019
