model,selected_sequence_window,technical_rmse_mean,news_rmse_mean,rmse_delta_news_minus_technical,rmse_delta_ci95_lower,rmse_delta_ci95_upper,rmse_exact_sign_flip_pvalue,technical_direction_accuracy_mean,news_direction_accuracy_mean,direction_accuracy_delta_pp,direction_accuracy_delta_pp_ci95_lower,direction_accuracy_delta_pp_ci95_upper,direction_exact_sign_flip_pvalue,technical_runtime_seconds_mean,news_runtime_seconds_mean,paired_outer_folds,seeds_per_fold
cnn,5,17.846065576734752,20.433426956129356,2.587361379394606,-11.80292547294454,16.977648231733752,0.5,0.511473114423783,0.5197889452384611,0.8315830814678206,-14.96357264473334,16.626738807668982,1.0,3.365465770000037,3.40023692999996,2,5
lstm,5,19.307117747890796,17.351465172140845,-1.9556525757499525,-39.299694236713854,35.38838908521395,1.0,0.507340812458378,0.5304543824599149,2.311357000153682,-5.9680817706132725,10.590795770920638,0.5,4.431438529999991,4.457554680000021,2,5
lstm_attention,20,45.4167532372025,33.019156913515076,-12.397596323687427,-86.3095717338491,61.51437908647425,0.5,0.48671003876167546,0.4871625429025152,0.04525041408397873,-12.033270455114069,12.123771283282027,1.0,7.542368390000047,7.940609259999997,2,5
lstm_cnn,20,24.60527665260885,29.257428563824632,4.652151911215778,-26.853751602175777,36.15805542460733,0.5,0.5164523675358161,0.5057015521745812,-1.0750815361234922,-3.2317277987394006,1.0815647264924162,0.5,6.170214039999996,6.111715890000005,2,5
lstm_cnn_attention,20,33.08075613885687,34.141603432626326,1.0608472937694535,-12.251811599575856,14.373506187114764,0.5,0.4965934122227345,0.49619213496576337,-0.040127725697111094,-3.713369297738118,3.633113846343896,1.0,9.52938585000004,9.427493849999996,2,5
