model,paired_runs,paired_outer_folds,seeds_per_fold,rmse_delta_mean,rmse_delta_std,rmse_delta_ci95_lower,rmse_delta_ci95_upper,rmse_exact_sign_flip_pvalue,direction_accuracy_delta_pp_mean,direction_accuracy_delta_pp_std,direction_accuracy_delta_pp_ci95_lower,direction_accuracy_delta_pp_ci95_upper,direction_exact_sign_flip_pvalue,runtime_seconds_delta_mean
cnn,10,2,5,2.587361379394606,1.6016536216418684,-11.80292547294454,16.977648231733752,0.5,0.8315830814678206,1.7580169619172756,-14.96357264473334,16.626738807668982,1.0,0.03477115999992293
lstm,10,2,5,-1.9556525757499525,4.1564299716030435,-39.299694236713854,35.38838908521395,1.0,2.311357000153682,0.9215099899280634,-5.9680817706132725,10.590795770920638,0.5,0.026116150000029845
lstm_attention,10,2,5,-12.397596323687427,8.22647834008585,-86.3095717338491,61.51437908647425,0.5,0.04525041408397873,1.344351707004597,-12.033270455114069,12.123771283282027,1.0,0.39824086999994956
lstm_cnn,10,2,5,4.652151911215778,3.5066392340275208,-26.853751602175777,36.15805542460733,0.5,-1.0750815361234922,0.2400369313387028,-3.2317277987394006,1.0815647264924162,0.5,-0.058498149999991256
lstm_cnn_attention,10,2,5,1.0608472937694535,1.4817125293609694,-12.251811599575856,14.373506187114764,0.5,-0.040127725697111094,0.408835537984333,-3.713369297738118,3.633113846343896,1.0,-0.10189200000004348
