fit_id,model,fold,test_year,base_seed,arm,scope,regime,fit_seed,features,feature_hash,training_sequences,fit_seconds,inference_seconds,trainable_parameters
f7ac89d335397c913dd6,lstm,fold_4,2025,456,Global-Numeric,global,global,456,122,279538b1cd564a4b06ef037ac3e334f8324b5edbc753e8ed9f34910dc00e60b7,1451,5.958150099992054,0.5456637000024784,9041
02e736e32ff8e7e82e9d,lstm,fold_4,2025,456,Global-Numeric-News,global,global,456,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1451,5.7137432000017725,0.442318699992029,9553
a6c140044c545de13192,lstm,fold_4,2025,456,Regime-SHAP-Numeric,regime,bull,1574850040,30,834d1e1f08392962409a468e4fdae8502fe8638e073183aebbdba5131f23b9c5,422,3.826884699999937,0.4191387000028044,3153
a90cac1df3867bfe6b79,lstm,fold_4,2025,456,Regime-SHAP-Numeric,regime,sideway,376207022,122,279538b1cd564a4b06ef037ac3e334f8324b5edbc753e8ed9f34910dc00e60b7,559,3.888211199999205,0.4935988999932306,9041
a04bccdcb38da54bc4f2,lstm,fold_4,2025,456,Regime-SHAP-Numeric,regime,bear,518123612,80,3034bb44ef0fa18ea49b08e084cf6672fd5fcb2627e8c5fb230ab20b267caba1,470,4.021443599995109,0.4222915999998804,6353
100fbf37042c5f3524e9,lstm,fold_4,2025,456,Regime-SHAP-Numeric-News,regime,bull,1574850040,38,a076ebcf4d70529ea1d6654ebdf65c2a1c5ef4e9aac6738f5e41bbf8fe0350d5,422,3.650399700010894,0.48778609999862965,3665
e8ea865cdf132a72cef7,lstm,fold_4,2025,456,Regime-SHAP-Numeric-News,regime,sideway,376207022,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,559,3.9343946000008145,0.4241543999960413,9553
870e4163a74bbe310883,lstm,fold_4,2025,456,Regime-SHAP-Numeric-News,regime,bear,518123612,88,be0ab9371cbac6ff813972092044dcb7cc3434af5ef9cae2b353078f4f11f534,470,3.6668876000039745,0.40622910000092816,6865
