model,fold,test_year,base_seed,arm,window,n_test,fit_seconds,inference_seconds,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
cnn,fold_3,2024,456,News-Only,20,244,3.8405108000006294,0.24102860000130022,81.13100936845441,72.45512473469385,8.551498906341756,-2.394252841228329,0.5532786885245902,0.5631267245440474,0.14338766850734055,1.0,244,0,0,41,86,23,94,0.7377049180327869
cnn,fold_3,2024,456,Global-Numeric-Shuffled-News,20,244,5.375016400001186,0.23178940000070725,44.33931384789007,38.880935104000734,4.583730882036717,-0.013790852190781022,0.48770491803278687,0.5065280301500774,0.03290023574481062,1.0,244,0,0,6,121,4,113,0.9590163934426229
cnn,fold_3,2024,456,Global-Numeric-Lagged-News,20,244,5.272083300005761,0.22415309999632882,28.873777800682472,23.524233331269883,2.776253819624133,0.570089896353789,0.5081967213114754,0.5245305875227135,0.08082406238765259,1.0,244,0,0,16,111,9,108,0.8975409836065574
cnn,fold_3,2024,456,Global-Numeric-Random-Features,20,244,5.747347699994862,0.26692650000040885,34.572092012840955,29.295913401827434,3.462873697261258,0.3836580156447219,0.5204918032786885,0.5360051147452722,0.10955229306176453,1.0,244,0,0,20,107,10,107,0.8770491803278688
