model,fold,test_year,base_seed,arm,window,models_in_arm,conceptual_fit_seconds,conceptual_inference_seconds,conceptual_trainable_parameters,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
pit_cmm_lstm,fold_1,2022,123,Global-Numeric,5,1,10.077280400000745,0.9649175000085961,9462,241,11.30983017778257,8.947592099593397,0.9066690967726909,0.7417732698450625,0.5291666666666667,0.541388518024032,0.08429216846006543,1.0,240,1,0,70,37,76,57,0.39166666666666666
pit_cmm_lstm,fold_1,2022,123,Global-Numeric-News,5,1,9.163254800005234,0.8936736000032397,10006,241,14.532657243740474,11.297529195557008,1.1469636102152454,0.5736374119810654,0.55,0.5684069988054248,0.14381598846912938,1.0,240,1,0,79,28,80,53,0.3375
pit_cmm_lstm,fold_1,2022,123,Regime-SHAP-Numeric,5,3,23.55226749999565,2.7389684000081616,19274,241,19.298846007732767,15.461210581187858,1.5708586723889615,0.2481144997637863,0.5666666666666667,0.5487316421895861,0.10309373358753214,1.0,240,1,0,41,66,38,95,0.6708333333333333
pit_cmm_lstm,fold_1,2022,123,Regime-SHAP-Numeric-News,5,3,22.585900600010063,2.97648779998417,20906,241,17.595872550158045,13.75749340471884,1.3944953595468015,0.3749559238005664,0.5791666666666667,0.5682313259784977,0.1389604339129432,1.0,240,1,0,50,57,44,89,0.6083333333333333
