symbol,mean_attention_when_active,active_test_days
ITC,0.020965114,119
BGRIM,0.020847557,119
ADVANC,0.020817429,234
SCB,0.020785574,234
KBANK,0.020781938,234
BEM,0.020778727,234
CCET,0.02077472,234
CPALL,0.020774247,234
BH,0.020769456,234
EGCO,0.020751279,234
SCC,0.020733526,234
CPN,0.020727264,234
RATCH,0.020720351,234
BDMS,0.020713905,234
BBL,0.020708632,234
BTS,0.020704612,234
TISCO,0.02070373,234
KTB,0.02070349,234
GLOBAL,0.02070125,119
CPF,0.020698976,234
WHA,0.020688737,234
TRUE,0.020687377,234
SCGP,0.020682063,234
LH,0.02067982,234
KTC,0.020676794,234
PTTEP,0.020671131,234
TTB,0.020667126,234
SAWAD,0.020664645,119
PTTGC,0.020662453,234
HMPRO,0.020658,234
OSP,0.020656057,234
TOP,0.020654943,234
TU,0.02064336,234
PTT,0.020642575,234
IVL,0.020637441,234
GPSC,0.020627849,234
DELTA,0.020627746,234
CBG,0.020616073,234
COM7,0.020612665,234
AWC,0.020606581,234
BJC,0.020606488,234
CRC,0.020598847,234
OR,0.02058853,234
MTC,0.020584684,234
TLI,0.020581977,234
GULF,0.020565664,156
MINT,0.02054729,234
AOT,0.02054361,234
KKP,0.020388203,115
VGI,0.020379236,171
TIDLOR,0.020364916,115
BCP,0.02034119,115
TCAP,0.020294527,115
BANPU,,0
CENTEL,,0
EA,,0
GULFI,,0
INTUCH,,0
KCE,,0
