symbol,mean_attention_when_active,active_test_days
EA,0.022003414,243
BCP,0.021748574,124
BTS,0.021652551,243
GLOBAL,0.02164666,243
TOP,0.021609372,243
SCGP,0.021579914,243
KTB,0.02154069,243
BEM,0.021526968,243
CPN,0.021490108,243
TRUE,0.021483479,243
SAWAD,0.021463068,119
TISCO,0.021459593,243
CPALL,0.021442616,243
LH,0.021441367,243
WHA,0.021432206,243
CRC,0.021431899,243
TU,0.02139419,243
KBANK,0.021374958,243
PTTGC,0.021373734,243
ADVANC,0.021317407,243
SCB,0.021312324,243
CENTEL,0.02129613,243
BDMS,0.021277009,243
KCE,0.02127128,119
RATCH,0.02122955,243
TLI,0.021219252,243
HMPRO,0.021215646,243
CBG,0.021215066,243
DELTA,0.021212976,243
TTB,0.021180114,243
AWC,0.021174671,243
BH,0.021168781,243
IVL,0.021163512,243
BJC,0.021149168,124
EGCO,0.021148248,243
PTT,0.021147834,243
OR,0.021145973,243
SCC,0.021138597,243
MTC,0.021120317,243
COM7,0.021112435,119
CPF,0.021047406,243
MINT,0.021046352,243
OSP,0.021033224,243
GPSC,0.021007547,243
BBL,0.020992402,243
BGRIM,0.020979714,243
PTTEP,0.020922044,243
AOT,0.020900188,243
KTC,0.020892307,243
ITC,0.020488357,124
BANPU,,0
CCET,,0
GULF,,0
GULFI,,0
INTUCH,,0
KKP,,0
TCAP,,0
TIDLOR,,0
VGI,,0
