fit_id,scope,regime,seed,features,feature_hash,training_sequences,fit_seconds,inference_seconds,trainable_parameters,arm_reference_count
243d1d20c59ea695,global,global,42,122,279538b1cd564a4b06ef037ac3e334f8324b5edbc753e8ed9f34910dc00e60b7,2823,22.946856799986563,0.8780767999996897,12865,3
c6c21e74fe2a4923,global,bull,233391756,122,279538b1cd564a4b06ef037ac3e334f8324b5edbc753e8ed9f34910dc00e60b7,2823,21.91228420000698,0.7514214999973774,12865,1
b5b873c4d8bca397,global,sideway,1801841624,122,279538b1cd564a4b06ef037ac3e334f8324b5edbc753e8ed9f34910dc00e60b7,2823,19.510285499985912,0.6894921000057366,12865,1
9eb1d752fa89ad86,global,bear,1151042323,122,279538b1cd564a4b06ef037ac3e334f8324b5edbc753e8ed9f34910dc00e60b7,2823,21.39246409999032,0.8711518999916734,12865,1
9a67bd7809257315,regime,bull,233391756,122,279538b1cd564a4b06ef037ac3e334f8324b5edbc753e8ed9f34910dc00e60b7,1016,12.169845099997474,0.945980700009386,12865,1
9eafb36efdad20c4,regime,sideway,1801841624,122,279538b1cd564a4b06ef037ac3e334f8324b5edbc753e8ed9f34910dc00e60b7,991,11.636636000010185,0.816161299997475,12865,3
05ccbf32630d39ed,regime,bear,1151042323,122,279538b1cd564a4b06ef037ac3e334f8324b5edbc753e8ed9f34910dc00e60b7,816,11.146138099997188,0.8594565999956103,12865,1
34de64701a26b458,regime,bull,233391756,30,834d1e1f08392962409a468e4fdae8502fe8638e073183aebbdba5131f23b9c5,1016,12.27681590001157,0.8620484999992186,6977,1
22cd5dc3912d36e5,regime,bear,1151042323,80,3034bb44ef0fa18ea49b08e084cf6672fd5fcb2627e8c5fb230ab20b267caba1,816,11.497758800003794,0.922284900007071,10177,1
7a4d31655d9846e7,regime,bull,233391756,30,a1b9f7ead332a02910a8d37cb3752a111385bcc0b64732a2fe41aa1b2ee40373,1016,12.702247600012925,0.9408239000040339,6977,1
8d40d9e323ff7794,regime,bear,1151042323,80,2d219eb3b9d856056e5f2c4cf90b12cdae9574f9a997f641ca3098c3d3f5527d,816,13.102118000009796,1.0056073000014294,10177,1
