model,fold,test_year,arm,base_seed,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share,ablation
pit_dern,fold_3,2024,Global-Numeric,123,244,20.575111666786174,16.41577235637415,1.9145061103160457,0.7816994480716705,0.5491803278688525,0.556834241873612,0.12218876071841703,1.0,244,0,0,47,80,30,87,0.6844262295081968,encoder_only
pit_dern,fold_3,2024,Global-Numeric,123,244,7.80721943888534,5.832103900778763,0.6755434286102634,0.9685686377076332,0.5327868852459017,0.5363752607847097,0.07379079629965955,1.0,244,0,0,57,70,44,73,0.5860655737704918,standard_retrieval
pit_dern,fold_3,2024,Global-Numeric,123,244,6.877813398777227,5.104083718595879,0.5905838643420146,0.9756066633444025,0.5573770491803278,0.5606703008277811,0.12273622645260117,1.0,244,0,0,61,66,42,75,0.5778688524590164,dual_evidence
pit_dern,fold_3,2024,Global-Numeric,123,244,20.265075770627337,16.174066852364962,1.8857561257913966,0.7882288009125403,0.5491803278688525,0.556834241873612,0.12218876071841703,1.0,244,0,0,47,80,30,87,0.6844262295081968,pit_dern
pit_dern,fold_3,2024,Global-Numeric,123,244,20.478109435741278,16.344717208376245,1.9061800869637164,0.7837529702291747,0.5491803278688525,0.556834241873612,0.12218876071841703,1.0,244,0,0,47,80,30,87,0.6844262295081968,shuffled_retrieval_control
pit_dern,fold_3,2024,Global-Numeric-News,123,244,19.405098877916117,15.672241508331698,1.8209487317799815,0.8058210484145789,0.5286885245901639,0.5381586917019988,0.08582944302967507,1.0,244,0,0,39,88,27,90,0.7295081967213115,encoder_only
pit_dern,fold_3,2024,Global-Numeric-News,123,244,7.835013849140398,6.148223715769268,0.7112392473305026,0.9683444423300731,0.5081967213114754,0.5151086883370348,0.03205643612557677,1.0,244,0,0,44,83,37,80,0.6680327868852459,standard_retrieval
pit_dern,fold_3,2024,Global-Numeric-News,123,244,7.016270899493651,5.315565557279965,0.6138057864463569,0.9746146515188344,0.5286885245901639,0.533111245709671,0.06772263270174726,1.0,244,0,0,54,73,42,75,0.6065573770491803,dual_evidence
pit_dern,fold_3,2024,Global-Numeric-News,123,244,19.17149524700693,15.473982470966233,1.7976538344716357,0.8104680615744686,0.5286885245901639,0.5381586917019988,0.08582944302967507,1.0,244,0,0,39,88,27,90,0.7295081967213115,pit_dern
pit_dern,fold_3,2024,Global-Numeric-News,123,244,19.29072718231596,15.58302095082195,1.8105297917616219,0.8081032453287678,0.5286885245901639,0.5381586917019988,0.08582944302967507,1.0,244,0,0,39,88,27,90,0.7295081967213115,shuffled_retrieval_control
pit_dern,fold_3,2024,Regime-SHAP-Numeric,123,244,24.67998604919634,19.91211458632325,2.32229733829482,0.6859055579052233,0.5491803278688525,0.5558247526751464,0.11773337949566197,1.0,244,0,0,50,77,33,84,0.6598360655737705,encoder_only
pit_dern,fold_3,2024,Regime-SHAP-Numeric,123,244,8.45281801219529,6.420569955503763,0.739971966460934,0.9631554319457396,0.5286885245901639,0.535130224106602,0.07387645934350685,1.0,244,0,0,48,79,36,81,0.6557377049180327,standard_retrieval
pit_dern,fold_3,2024,Regime-SHAP-Numeric,123,244,6.844673397618033,5.067867646723978,0.5847035833610528,0.9758411703238113,0.4918032786885246,0.4966686856450636,-0.006853469041543651,1.0,244,0,0,48,79,45,72,0.6188524590163934,dual_evidence
pit_dern,fold_3,2024,Regime-SHAP-Numeric,123,244,24.433451158702812,19.71486070466959,2.2993920181803245,0.6921493603303703,0.5491803278688525,0.5558247526751464,0.11773337949566197,1.0,244,0,0,50,77,33,84,0.6598360655737705,pit_dern
pit_dern,fold_3,2024,Regime-SHAP-Numeric,123,244,24.582239278943685,19.83422412925587,2.3131871841678775,0.6883886159656287,0.5491803278688525,0.5558247526751464,0.11773337949566197,1.0,244,0,0,50,77,33,84,0.6598360655737705,shuffled_retrieval_control
pit_dern,fold_3,2024,Regime-SHAP-Numeric-News,123,244,24.34928217836199,19.4061344740894,2.2552886403039927,0.6942666907077939,0.5040983606557377,0.5111716804630191,0.02377805760429731,1.0,244,0,0,43,84,37,80,0.6721311475409836,encoder_only
pit_dern,fold_3,2024,Regime-SHAP-Numeric-News,123,244,8.745737397640555,6.748177983751529,0.7805969415433998,0.9605576032117579,0.5204918032786885,0.5259102227606165,0.053655508944268675,1.0,244,0,0,50,77,40,77,0.6311475409836066,standard_retrieval
pit_dern,fold_3,2024,Regime-SHAP-Numeric-News,123,244,7.581988830337134,5.522953295208259,0.6365761764106069,0.9703560062879929,0.5163934426229508,0.5202907328891582,0.04128772204835001,1.0,244,0,0,54,73,45,72,0.5942622950819673,dual_evidence
pit_dern,fold_3,2024,Regime-SHAP-Numeric-News,123,244,23.745004119715727,18.96730323178328,2.2042747393653315,0.7092532087722334,0.5040983606557377,0.5111716804630191,0.02377805760429731,1.0,244,0,0,43,84,37,80,0.6721311475409836,pit_dern
pit_dern,fold_3,2024,Regime-SHAP-Numeric-News,123,244,24.187987236765498,19.279679387179453,2.2405080292243316,0.6983037629388803,0.5040983606557377,0.5111716804630191,0.02377805760429731,1.0,244,0,0,43,84,37,80,0.6721311475409836,shuffled_retrieval_control
