evidence_boundary,model,sequence_window,balanced_accuracy_set50_mean,balanced_accuracy_set100_mean,balanced_accuracy_delta_pp,balanced_accuracy_delta_ci95_lower,balanced_accuracy_delta_ci95_upper,balanced_accuracy_holm_pvalue
same_exchange_not_external_market,lstm,5,0.5312207745517072,0.5162530569920276,-1.4967717559679656,-6.139003654199954,3.145460142264024,1.0
same_exchange_not_external_market,cnn,20,0.5307947964279232,0.5188541002403885,-1.1940696187534627,-2.080359853327236,-0.3077793841796893,0.625
same_exchange_not_external_market,lstm_cnn,20,0.5267632971920999,0.5051038226978166,-2.1659474494283275,-6.560452458270526,2.228557559413871,1.0
same_exchange_not_external_market,lstm_attention,10,0.5237397235070507,0.5141911079586841,-0.9548615548366584,-2.987008437889701,1.0772853282163837,1.0
same_exchange_not_external_market,lstm_cnn_attention,20,0.5110056106576095,0.500301578858093,-1.0704031799516471,-6.852370751701811,4.711564391798516,1.0
