model,selected_sequence_window,full_ta_balanced_accuracy_mean,vmd_balanced_accuracy_mean,balanced_accuracy_delta_pp,balanced_accuracy_delta_pp_ci95_lower,balanced_accuracy_delta_pp_ci95_upper,balanced_accuracy_exact_sign_flip_pvalue,full_ta_runtime_seconds_mean,vmd_runtime_seconds_mean
lstm,5,0.5349005021580684,0.531555221442086,-0.3345280715982345,-1.737045652749766,1.0679895095532967,0.5,7.835224170000219,7.708659039999475
cnn,20,0.5214195310143117,0.5184286848337295,-0.299084618058221,-1.3838656322693228,0.7856963961528809,0.625,6.546934035000959,6.570232284999657
lstm_cnn,20,0.5207540986833427,0.5242991138023738,0.3545015119031078,-1.6118551069586426,2.3208581307648584,0.625,14.26222891000034,14.547365085000274
lstm_attention,10,0.5250764094249141,0.5201219088032827,-0.4954500621631337,-3.477799904254669,2.4868997799284016,0.75,14.206420960000106,15.549495269999534
lstm_cnn_attention,20,0.5158316537587853,0.5098316125678064,-0.6000041190978916,-1.9795301124973728,0.7795218743015896,0.375,20.379255225000087,19.643273739999493
