evidence_boundary,model,objective,rows,direction_accuracy,balanced_accuracy,mcc,auc,brier
source_contingent_partial_2026,lstm,direct,138,0.5289855072463768,0.5441845354126056,0.0881497805666071,0.533246696989387,0.2496998417130109
source_contingent_partial_2026,lstm,multitask,138,0.5942028985507246,0.5139701104613386,0.0736205318189244,0.5018410223088585,0.2492486615808394
source_contingent_partial_2026,cnn,direct,138,0.5869565217391305,0.5,0.0,0.4959930690924843,0.249215700403088
source_contingent_partial_2026,cnn,multitask,138,0.5869565217391305,0.5,0.0,0.4944769330734243,0.2490069887686765
source_contingent_partial_2026,lstm_cnn,direct,138,0.4927536231884058,0.521117608836907,0.043881862165063,0.4853801169590643,0.2500358413093784
source_contingent_partial_2026,lstm_cnn,multitask,138,0.5869565217391305,0.5,0.0,0.5167857916395928,0.2487822051534775
source_contingent_partial_2026,lstm_attention,direct,138,0.5579710144927537,0.4961013645224171,-0.0109060268361115,0.50682261208577,0.2491266567847035
source_contingent_partial_2026,lstm_attention,multitask,138,0.5797101449275363,0.5120207927225471,0.0380316227314985,0.5115876110028157,0.2492932760157495
source_contingent_partial_2026,lstm_cnn_attention,direct,138,0.5869565217391305,0.5,0.0,0.4842971626597357,0.2489006025281689
source_contingent_partial_2026,lstm_cnn_attention,multitask,138,0.5869565217391305,0.5,0.0,0.5150530647606671,0.2488154182541171
