evidence_boundary,comparison_id,pairs,unique_articles,control_accuracy_x,leader_accuracy,accuracy_delta_pp,accuracy_delta_pp_ci95_lower,accuracy_delta_pp_ci95_upper,holm_adjusted_pvalue
intrinsic_only_not_downstream_feature_source,leader_minus_self_consistency_3,1333,738,0.7066766691672918,0.7659414853713429,5.926481620405111,3.4909646293948877,8.487119215942714,3.999920001599968e-05
intrinsic_only_not_downstream_feature_source,leader_minus_self_consistency_4,1333,738,0.705926481620405,0.7659414853713429,6.001500375093782,3.613369897178423,8.477244869253026,3.999920001599968e-05
