model,fold,test_year,arm,base_seed,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share,ablation
pit_dern,fold_1,2022,Global-Numeric,789,241,20.606531093973913,16.39040964684275,1.6671618187277475,0.14276714909438348,0.5,0.5050242428501159,0.010031582088571328,1.0,240,1,0,59,48,72,61,0.45416666666666666,encoder_only
pit_dern,fold_1,2022,Global-Numeric,789,241,7.712274724551561,5.940941093796428,0.6042216849967734,0.8799246085227221,0.5125,0.5181294357388799,0.03622706488601604,1.0,240,1,0,61,46,71,62,0.45,standard_retrieval
pit_dern,fold_1,2022,Global-Numeric,789,241,6.96333600801393,5.349776053376554,0.544272047063505,0.9021132899078885,0.48333333333333334,0.48724615276509026,-0.02542919260101351,1.0,240,1,0,56,51,73,60,0.4625,dual_evidence
pit_dern,fold_1,2022,Global-Numeric,789,241,19.987859249273235,15.902938737085941,1.617623690285629,0.19346801817000558,0.5,0.5050242428501159,0.010031582088571328,1.0,240,1,0,59,48,72,61,0.45416666666666666,pit_dern
pit_dern,fold_1,2022,Global-Numeric,789,241,20.43908610209496,16.256046356577272,1.6535335809309104,0.15664198902281012,0.5,0.5050242428501159,0.010031582088571328,1.0,240,1,0,59,48,72,61,0.45416666666666666,shuffled_retrieval_control
pit_dern,fold_1,2022,Global-Numeric-News,789,241,24.031934232095264,18.74132761797996,1.9070158587118544,-0.16591390499475867,0.49583333333333335,0.5103998313540861,0.02145412821220937,1.0,240,1,0,69,38,83,50,0.36666666666666664,encoder_only
pit_dern,fold_1,2022,Global-Numeric-News,789,241,8.504716995691405,6.41537090060014,0.6528338130313058,0.8539812046109885,0.5083333333333333,0.5043215515424074,0.008616503278029371,1.0,240,1,0,50,57,61,72,0.5375,standard_retrieval
pit_dern,fold_1,2022,Global-Numeric-News,789,241,7.021792022499221,5.407351322556192,0.5505056423590805,0.9004629071537114,0.5,0.4958892558499052,-0.008196186044954768,1.0,240,1,0,49,58,62,71,0.5375,dual_evidence
pit_dern,fold_1,2022,Global-Numeric-News,789,241,23.120686419024707,18.022025598471977,1.833720790857582,-0.07917151933714717,0.49583333333333335,0.5103998313540861,0.02145412821220937,1.0,240,1,0,69,38,83,50,0.36666666666666664,pit_dern
pit_dern,fold_1,2022,Global-Numeric-News,789,241,23.811592892614506,18.569821318617524,1.8895335094571868,-0.1446321125789951,0.49583333333333335,0.5103998313540861,0.02145412821220937,1.0,240,1,0,69,38,83,50,0.36666666666666664,shuffled_retrieval_control
pit_dern,fold_1,2022,Regime-SHAP-Numeric,789,241,22.66777014884173,17.15652879437935,1.747762868102922,-0.03730537609076445,0.425,0.436441571217764,-0.12969424815915587,1.0,240,1,0,58,49,89,44,0.3875,encoder_only
pit_dern,fold_1,2022,Regime-SHAP-Numeric,789,241,8.708809417670926,7.030653644052649,0.7147803581855451,0.8468889264885973,0.4375,0.4349307849061907,-0.12944445037651447,1.0,240,1,0,44,63,72,61,0.5166666666666667,standard_retrieval
pit_dern,fold_1,2022,Regime-SHAP-Numeric,789,241,7.264688885678238,5.547464502189784,0.5641020077675687,0.8934574545414611,0.44583333333333336,0.4424495818986719,-0.1145667227118524,1.0,240,1,0,44,63,70,63,0.525,dual_evidence
pit_dern,fold_1,2022,Regime-SHAP-Numeric,789,241,21.983740361246266,16.673665021217808,1.6986336734570875,0.024354152186831568,0.425,0.436441571217764,-0.12969424815915587,1.0,240,1,0,58,49,89,44,0.3875,pit_dern
pit_dern,fold_1,2022,Regime-SHAP-Numeric,789,241,22.503766417229116,17.036434370486816,1.7355270257477309,-0.022349645892004943,0.425,0.436441571217764,-0.12969424815915587,1.0,240,1,0,58,49,89,44,0.3875,shuffled_retrieval_control
pit_dern,fold_1,2022,Regime-SHAP-Numeric-News,789,241,29.34656452237318,22.163371395482777,2.261126219667392,-0.7386155650272364,0.5041666666666667,0.5087836413463565,0.017524848838026633,1.0,240,1,0,59,48,71,62,0.4583333333333333,encoder_only
pit_dern,fold_1,2022,Regime-SHAP-Numeric-News,789,241,8.903097978199927,7.036865131997391,0.717032711194447,0.8399810804079932,0.4666666666666667,0.4585060782798117,-0.08333996089808807,1.0,240,1,0,41,66,62,71,0.5708333333333333,standard_retrieval
pit_dern,fold_1,2022,Regime-SHAP-Numeric-News,789,241,7.208481282499188,5.497298438716006,0.5596714529801072,0.8950997366552407,0.475,0.46693837397231397,-0.0664038130441159,1.0,240,1,0,42,65,61,72,0.5708333333333333,dual_evidence
pit_dern,fold_1,2022,Regime-SHAP-Numeric-News,789,241,27.9084293713049,21.229546213879708,2.165574275375435,-0.5723883600830044,0.5041666666666667,0.5087836413463565,0.017524848838026633,1.0,240,1,0,59,48,71,62,0.4583333333333333,pit_dern
pit_dern,fold_1,2022,Regime-SHAP-Numeric-News,789,241,29.009560052384355,21.94539303224522,2.2388485959180326,-0.6989136795471496,0.5041666666666667,0.5087836413463565,0.017524848838026633,1.0,240,1,0,59,48,71,62,0.4583333333333333,shuffled_retrieval_control
