fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy
fold_1,2012,2021,2022,2419,241,16.937240050243354,12.885129724261168,1.3113398437982138,0.4208723321904754,0.44398340248962653
fold_2,2012,2022,2023,2660,243,15.927786296433904,12.541653377980376,1.3612024203575317,0.8718553138246974,0.5308641975308642
fold_3,2012,2023,2024,2903,244,9.437038654638563,7.344903693590006,0.8443303767466775,0.9540757682611782,0.47950819672131145
fold_4,2012,2024,2025,3147,234,20.548510223896237,15.719535045960034,2.054875219779882,0.8370030831427694,0.5470085470085471
