fit_id,model,fold,test_year,base_seed,arm,features,feature_hash,training_sequences,fit_seconds,inference_seconds,trainable_parameters
fc811df258c6e3319d25,lstm_cnn,fold_4,2025,123,News-Only,8,66288c297dd324367a8595f4e4d41a6d0c4f683f0534c571b40ea085d994132d,1436,10.55038510000304,0.7599991999959457,3441
794eb00595a0f8dc4ce2,lstm_cnn,fold_4,2025,123,Global-Numeric-Shuffled-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1436,10.09364579999965,0.5204047999941395,11249
f94b83d673728e68b829,lstm_cnn,fold_4,2025,123,Global-Numeric-Lagged-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1436,10.438100599996687,0.5566964999961783,11249
619f755700c4cc37e736,lstm_cnn,fold_4,2025,123,Global-Numeric-Random-Features,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,1436,10.365704700001515,0.5469414000035613,11249
