model,fold,test_year,base_seed,arm,window,n_test,fit_seconds,inference_seconds,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
lstm_attention,fold_2,2023,123,News-Only,10,243,7.611923000004026,0.6778859999976703,65.13186305651172,55.65901556304945,5.822186755471228,-1.1427759521925922,0.5619834710743802,0.545641447368421,0.11093493724962532,1.0,242,1,0,106,22,84,30,0.21487603305785125
lstm_attention,fold_2,2023,123,Global-Numeric-Shuffled-News,10,243,8.120486100000562,0.6079285999949207,21.01448704409596,16.917337812734722,1.8216372417070834,0.7769370976761076,0.5413223140495868,0.5476973684210527,0.09751273886841189,1.0,242,1,0,56,72,39,75,0.6074380165289256
lstm_attention,fold_2,2023,123,Global-Numeric-Lagged-News,10,243,8.184220200004347,0.596015900002385,24.00516591273754,19.29928506278207,2.0691454272506142,0.7089288340677131,0.512396694214876,0.5078810307017544,0.015933321590027853,1.0,242,1,0,75,53,65,49,0.4214876033057851
lstm_attention,fold_2,2023,123,Global-Numeric-Random-Features,10,243,8.230971400000271,0.7168781000000308,28.40950540384929,23.637298872264793,2.558588574818679,0.5923221579783906,0.5165289256198347,0.5333744517543859,0.08169580842498891,1.0,242,1,0,31,97,20,94,0.7892561983471075
