model,fold,test_year,base_seed,arm,window,models_in_arm,conceptual_fit_seconds,conceptual_inference_seconds,conceptual_trainable_parameters,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
lstm,fold_4,2025,42,Global-Numeric,5,1,5.71619420000934,0.44051800000306685,9041,234,14.653174283550552,11.717320724868285,1.490655859234948,0.9171138174060945,0.5042735042735043,0.4975877192982456,-0.005651931272574853,1.0,234,0,0,91,29,87,27,0.23931623931623933
lstm,fold_4,2025,42,Global-Numeric-News,5,1,5.713984699992579,0.4442267999984324,9553,234,15.914573344434242,12.752114156490814,1.613826071676871,0.9022293036957245,0.5341880341880342,0.5289473684210526,0.0634622718962488,1.0,234,0,0,88,32,77,37,0.2948717948717949
lstm,fold_4,2025,42,Regime-SHAP-Numeric,5,3,12.062118500005454,1.340291000014986,18547,234,20.735120844337537,15.516411959808162,1.9921993226263672,0.8340291380008492,0.5085470085470085,0.5114035087719299,0.02338421688774671,1.0,234,0,0,48,72,43,71,0.6111111111111112
lstm,fold_4,2025,42,Regime-SHAP-Numeric-News,5,3,13.025090400013141,1.4325179000152275,20083,234,21.037783818014535,17.433773368086946,2.2075305719321614,0.8291485440471285,0.4700854700854701,0.4774122807017544,-0.055087303291971854,1.0,234,0,0,23,97,27,87,0.7863247863247863
