fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy
fold_1,2012,2021,2022,2359,241,7.379906302878068,5.7787273157692205,0.5873232337886726,0.8900511416746086,0.44813278008298757
fold_2,2012,2022,2023,2600,243,7.829585468808984,5.9999205696511675,0.6486248132328347,0.969035269807825,0.5473251028806584
fold_3,2012,2023,2024,2843,244,7.678436038940872,5.809719647866638,0.6722836249776815,0.9695970326007027,0.46311475409836067
fold_4,2012,2024,2025,3087,234,20.940885698809264,15.183146435134214,1.9980191141816186,0.8307187720759404,0.5598290598290598
