model,selected_sequence_window,selection_direction_accuracy_mean,selection_direction_accuracy_std,selection_rmse_mean,selection_rmse_std,selection_feature_sets,selection_years,selection_seed
lstm,5,0.4932956979266457,0.016648432607630215,29.193290415161794,9.062718049142534,2,4,42
cnn,5,0.4995455696380641,0.030699807861146955,27.231270733652813,16.76351635381241,2,4,42
lstm_cnn,20,0.47982982276503633,0.029523230814533143,47.38247709592688,13.894688795886692,2,4,42
lstm_attention,20,0.49172765933581797,0.03216828857547398,59.292611350345226,19.634347628974652,2,4,42
lstm_cnn_attention,20,0.49275000103973376,0.02525850473982509,67.24602440260246,18.585562782481734,2,4,42
