model,paired_outer_folds,seeds_per_fold,rmse_delta_mean,rmse_delta_std,rmse_delta_ci95_lower,rmse_delta_ci95_upper,rmse_exact_sign_flip_pvalue,direction_accuracy_delta_pp_mean,direction_accuracy_delta_pp_std,direction_accuracy_delta_pp_ci95_lower,direction_accuracy_delta_pp_ci95_upper,direction_exact_sign_flip_pvalue,runtime_seconds_delta_mean
lstm,4,5,-0.6165143174790633,0.7738171576458942,-1.8478300946369364,0.6148014596788098,0.375,-0.5225001652115453,0.6016678444388407,-1.4798879694829128,0.4348876390598223,0.25,0.1434406399988802
cnn,4,5,-2.962963004666391,3.771696807060816,-8.964574288807963,3.038648279475181,0.25,-0.899325090649944,1.1368744120032868,-2.7083459766759836,0.9096957953760955,0.25,0.05426999999035606
lstm_cnn,4,5,-1.5663631089507404,6.456650133539499,-11.840334289948702,8.70760807204722,0.75,0.7969336069654263,0.6773967027977634,-0.2809557100498159,1.8748229239806684,0.125,0.10702047999657208
lstm_attention,4,5,7.352221916756946,6.879263645480692,-3.594221669061243,18.298665502575133,0.25,-0.3451508198917675,1.557072233619127,-2.8228002083627204,2.132498568579185,0.625,1.4153628300089622
lstm_cnn_attention,4,5,-1.9659929462287935,5.427771329671081,-10.602788353248583,6.670802460790997,0.625,0.531029931250249,1.7326004168349318,-2.225923966294902,3.2879838287954004,0.625,1.0669832349987698
