model,sequence_window,direction_accuracy_mean,direction_accuracy_std,rmse_mean,rmse_std,runtime_seconds_mean,selection_feature_sets,selection_years,selection_runs
lstm,1,0.4917223966118572,0.020677204925297652,33.58284329434936,15.313053413729405,5.707902787507919,2,4,8
lstm,3,0.48916815274331443,0.027701625624221588,30.277958421525533,11.59123425113183,6.246118062510504,2,4,8
lstm,5,0.4932956979266457,0.016648432607630215,29.193290415161794,9.062718049142534,6.694711962481961,2,4,8
lstm,10,0.48197220487237874,0.01728780727100996,31.603117503360334,13.21047083156895,7.783302674994047,2,4,8
lstm,20,0.48756906417395174,0.03296689361465498,31.401214008741636,10.699389776415433,9.961128087510588,2,4,8
cnn,1,0.4912573735692142,0.021671454145415048,19.623339175361725,6.026333156834819,5.2668898875126615,2,4,8
cnn,3,0.49374249567140827,0.0288627475698605,25.018971197497706,12.869473239488858,5.63714082500519,2,4,8
cnn,5,0.4995455696380641,0.030699807861146955,27.231270733652813,16.76351635381241,5.5654889500074205,2,4,8
cnn,10,0.4845187817039896,0.016042844611305215,37.5094176951252,17.905074687731144,5.746272512507858,2,4,8
cnn,20,0.4875758241931164,0.026867180283520004,51.125421455799966,23.327344294107707,5.906900712507195,2,4,8
lstm_cnn,1,0.4772346323447344,0.038395063766179044,31.495607109664363,9.055341127275522,7.380598075003945,2,4,8
lstm_cnn,3,0.47058539153063816,0.03575608289135495,34.72766835262648,10.100480691905947,8.453280162495503,2,4,8
lstm_cnn,5,0.4731635760194245,0.03108065681805447,37.17843351046597,10.988642698572512,8.922599024990632,2,4,8
lstm_cnn,10,0.4762608336761455,0.030425511698676026,38.55666159027785,14.972184755388083,10.071250737491937,2,4,8
lstm_cnn,20,0.47982982276503633,0.029523230814533143,47.38247709592688,13.894688795886692,11.948460312501993,2,4,8
lstm_attention,1,0.47731910443078723,0.02098065153110714,34.11041409473744,10.194182255090722,9.595052400007262,2,4,8
lstm_attention,3,0.4777704498683014,0.03745933604601861,33.869123977041895,8.246697868175755,10.62041767500341,2,4,8
lstm_attention,5,0.4818984829267171,0.033281808480256886,36.75477735148298,8.476143676221273,11.215591337502701,2,4,8
lstm_attention,10,0.48864955024058493,0.02955261046957398,47.038389931015345,10.728857054443685,13.162046237499453,2,4,8
lstm_attention,20,0.49172765933581797,0.03216828857547398,59.292611350345226,19.634347628974652,15.433310962507676,2,4,8
lstm_cnn_attention,1,0.4814343307682358,0.013748608305274987,39.73290912981068,14.786337963771299,12.559235812514089,2,4,8
lstm_cnn_attention,3,0.49273433665758504,0.02329085052443263,42.601627578867976,13.724592267487811,13.880334650006262,2,4,8
lstm_cnn_attention,5,0.4875056225603996,0.03185310167508055,40.61429080408706,13.888285020326773,14.606688375002705,2,4,8
lstm_cnn_attention,10,0.4870423945224493,0.025493099407743625,52.951548517092455,21.872303999383874,15.135988012501912,2,4,8
lstm_cnn_attention,20,0.49275000103973376,0.02525850473982509,67.24602440260246,18.585562782481734,14.20521070000541,2,4,8
