model,selected_sequence_window,full_ta_rmse_mean,full_ta_rmse_std,vmd_rmse_mean,vmd_rmse_std,rmse_delta_vmd_minus_full_ta,rmse_delta_ci95_lower,rmse_delta_ci95_upper,rmse_exact_sign_flip_pvalue,full_ta_direction_accuracy_mean,full_ta_direction_accuracy_std,vmd_direction_accuracy_mean,vmd_direction_accuracy_std,direction_accuracy_delta_pp,direction_accuracy_delta_pp_ci95_lower,direction_accuracy_delta_pp_ci95_upper,direction_exact_sign_flip_pvalue,full_ta_runtime_seconds_mean,vmd_runtime_seconds_mean,paired_outer_folds,seeds_per_fold
lstm,5,13.860603433319593,2.226158808098238,13.244089115840527,1.567857885917082,-0.6165143174790633,-1.8478300946369364,0.6148014596788098,0.375,0.5255802246700447,0.02247262859463918,0.5203552230179292,0.017166412976360054,-0.5225001652115453,-1.4798879694829128,0.4348876390598223,0.25,7.488402635001694,7.631843275000574,4,5
cnn,5,19.26763368810161,5.711327781906872,16.30467068343522,2.26339784780034,-2.962963004666391,-8.964574288807963,3.038648279475181,0.25,0.5256133719522453,0.00934701942274575,0.516620121045746,0.016150098455526573,-0.899325090649944,-2.7083459766759836,0.9096957953760955,0.25,6.055187760008266,6.109457759998622,4,5
lstm_cnn,20,34.257338898550714,20.838778293808154,32.690975789599975,14.949463482209257,-1.5663631089507404,-11.840334289948702,8.70760807204722,0.75,0.509978342914311,0.023633852772999755,0.5179476789839652,0.030356594188404494,0.7969336069654263,-0.2809557100498159,1.8748229239806684,0.125,13.835222905001137,13.94224338499771,4,5
lstm_attention,20,31.883887969756664,4.350387002857364,39.2361098865136,8.720314980204485,7.352221916756946,-3.594221669061243,18.298665502575133,0.25,0.5076902477966464,0.02872988344769717,0.5042387395977287,0.018323795206011063,-0.3451508198917675,-2.8228002083627204,2.132498568579185,0.625,18.851599544996862,20.266962375005825,4,5
lstm_cnn_attention,20,45.41475993282961,18.968899007742845,43.448766986600816,21.996420787349834,-1.9659929462287935,-10.602788353248583,6.670802460790997,0.625,0.4971497059815882,0.03622808605968761,0.5024600052940906,0.03074706325588541,0.531029931250249,-2.225923966294902,3.2879838287954004,0.625,25.186345425000763,26.253328659999532,4,5
