role,calls,runtime_seconds_mean,runtime_seconds_median,runtime_seconds_total,input_tokens_total,output_tokens_total,cost_usd_total
bear,3,5.064456100000068,4.438532699999996,15.193368300000202,2645,714,0.0173225
bull,3,4.828866766666731,4.915200700000241,14.486600300000191,2642,657,0.016460000000000002
leader,3,3.4624218999999052,3.636572999999771,10.387265699999716,3841,519,0.0173875
single,3,3.182088566666607,2.7896418999998787,9.546265699999822,2765,338,0.0119825
