method,pairs,accuracy,macro_f1,weighted_f1,mcc,log_loss,multiclass_brier_score,mean_confidence
single,3,0.6666666666666666,0.5555555555555555,0.5555555555555555,0.6123724356957946,0.6418398198025265,0.4184666666666666,0.7266666666666667
leader,3,1.0,1.0,1.0,1.0,0.4218312203247288,0.18833333333333332,0.6566666666666666
