model,fold,test_year,base_seed,arm,window,n_test,fit_seconds,inference_seconds,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
lstm,fold_2,2023,456,News-Only,5,243,4.175106100003177,0.4076221000068472,53.430411738474795,42.85300986572547,4.7255890541004195,-0.4420051233403226,0.5454545454545454,0.5540021929824561,0.11263860880114841,1.0,242,1,0,52,76,34,80,0.6446280991735537
lstm,fold_2,2023,456,Global-Numeric-Shuffled-News,5,243,5.110864299997047,0.491906299997936,15.35086776431657,12.21084550770224,1.3124599025279116,0.8809702222184949,0.5495867768595041,0.5296052631578947,0.082125596963296,1.0,242,1,0,112,16,93,21,0.15289256198347106
lstm,fold_2,2023,456,Global-Numeric-Lagged-News,5,243,4.455955400000676,0.4228043000039179,13.441364108094458,10.819890231031463,1.1583681473372855,0.908740842936706,0.5247933884297521,0.5119243421052632,0.026605131372993755,1.0,242,1,0,94,34,81,33,0.2768595041322314
lstm,fold_2,2023,456,Global-Numeric-Random-Features,5,243,4.13133370000287,0.4079003999941051,17.434895947590945,14.484743266929842,1.5585789031605402,0.8464575446572471,0.5289256198347108,0.5023985745614035,0.012030859003435979,1.0,242,1,0,123,5,109,5,0.04132231404958678
