variant,balanced_accuracy_mean,balanced_accuracy_std,direction_accuracy_mean,mcc_mean,brier_score_mean,binary_crossentropy_mean,predicted_up_share_mean,years
permuted_regime_cdr,0.5353958791588298,0.03678034252402214,0.5318761384335156,0.07824866970630033,0.260502392587439,0.7156503285411333,0.6275921255429452,2
cross_state_only,0.511340681352078,0.039165805086394646,0.5130832282471627,0.02239229452234277,0.2618528846720842,0.7194724723876837,0.46150343281490824,2
direct_lstm,0.4940513635188314,0.03446394485406348,0.4921535659240578,-0.012011824589753365,0.2650060461363928,0.7257962213981659,0.5563787305590584,2
counter_direction_only,0.48966834295004624,0.022364533350632133,0.489841670169539,-0.020690140805432487,0.26156002860468397,0.7188560695059036,0.5050616505534539,2
pit_cdr_lstm,0.48634010576613146,0.0031910109222151642,0.4875297744150203,-0.027599825820617915,0.2631853188514105,0.7225339468915433,0.450591985428051,2
random_relations,0.47683689399655005,0.028725829465788697,0.4731855121199383,-0.046766895439047544,0.2661468059324159,0.7280963046369135,0.6316029143897997,2
