variant,cells,wall_seconds_total,wall_seconds_mean,wall_seconds_std
counter_direction_only,10,208.87706420005998,20.887706420005998,1.8779196679386678
cross_state_only,10,209.81412880000426,20.981412880000427,1.8238457319762023
direct_lstm,10,220.7710629000212,22.07710629000212,3.4527800766913495
permuted_regime_cdr,10,211.10647299999255,21.110647299999254,1.7281928652823166
pit_cdr_lstm,10,208.0567788000335,20.80567788000335,1.9357971286528226
random_relations,10,208.37266080008703,20.837266080008703,1.9528254211685347
