fit_id,model,fold,test_year,base_seed,arm,scope,regime,fit_seed,features,feature_hash,training_sequences,fit_seconds,inference_seconds,trainable_parameters
6f287761c7de9b109680,lstm_cnn,fold_2,2023,2025,Global-Numeric,global,global,2025,122,279538b1cd564a4b06ef037ac3e334f8324b5edbc753e8ed9f34910dc00e60b7,949,7.983485499993549,0.5012414999946486,10737
1e72a074336e13bc6600,lstm_cnn,fold_2,2023,2025,Global-Numeric-News,global,global,2025,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,949,7.811673099990003,0.5631715999916196,11249
1301872de6afecd3ad01,lstm_cnn,fold_2,2023,2025,Regime-SHAP-Numeric,regime,bull,2072905862,30,834d1e1f08392962409a468e4fdae8502fe8638e073183aebbdba5131f23b9c5,292,5.834273100001155,0.6447549000004074,4849
3ec5795393c051502003,lstm_cnn,fold_2,2023,2025,Regime-SHAP-Numeric,regime,sideway,1719281127,122,279538b1cd564a4b06ef037ac3e334f8324b5edbc753e8ed9f34910dc00e60b7,371,5.934508799997275,0.5325646999990568,10737
18bf1a45b5c4c8560332,lstm_cnn,fold_2,2023,2025,Regime-SHAP-Numeric,regime,bear,926380243,80,3034bb44ef0fa18ea49b08e084cf6672fd5fcb2627e8c5fb230ab20b267caba1,286,4.952175899990834,0.5224051999975927,8049
85fec6eab52d5ef7e16a,lstm_cnn,fold_2,2023,2025,Regime-SHAP-Numeric-News,regime,bull,2072905862,38,a076ebcf4d70529ea1d6654ebdf65c2a1c5ef4e9aac6738f5e41bbf8fe0350d5,292,5.285350299993297,0.5066758999892045,5361
7f2b843d8b81efa27665,lstm_cnn,fold_2,2023,2025,Regime-SHAP-Numeric-News,regime,sideway,1719281127,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,371,5.375765999997384,0.5033201000042027,11249
dadb0a56a4b86df2cda5,lstm_cnn,fold_2,2023,2025,Regime-SHAP-Numeric-News,regime,bear,926380243,88,be0ab9371cbac6ff813972092044dcb7cc3434af5ef9cae2b353078f4f11f534,286,4.884286300002714,0.5227852999960305,8561
