task,test_year,train_pairs,test_pairs,accuracy,macro_f1,weighted_f1,mcc,fit_seconds,predict_seconds
sentiment,2019,2840,2740,0.8124087591240876,0.7876467281257855,0.8121968420448015,0.692907450456817,8.930216300000211,5.755631200000153
sentiment,2020,5580,2314,0.8154710458081245,0.7863232088487501,0.8149272504116807,0.6897942557631571,17.88398769999958,5.41899310000008
sentiment,2021,7894,2154,0.8342618384401114,0.7880046038725266,0.82953017891477,0.682987597844685,25.87142509999967,5.548153100000036
sentiment,2022,10048,1325,0.7984905660377358,0.7679341275580761,0.7968179555266837,0.6369648825017848,39.179256500000065,3.7105157000000872
sentiment,2023,11373,1333,0.8282070517629407,0.7843755997999541,0.8265184304267139,0.6966467195286572,41.90191560000039,3.340418199999931
relevance,2019,3193,3142,0.8271801400381922,0.7172738741661879,0.84844327161833,0.4851952591993484,8.971006799999941,7.22177099999999
relevance,2020,6335,3004,0.8418774966711052,0.79887789397571,0.8491524474511036,0.6129316937279582,17.634491700000126,7.582117599999947
relevance,2021,9339,2854,0.855290819901892,0.81673939085813,0.8595612226607503,0.6399588963111729,27.969301100000393,9.649296699999923
relevance,2022,12193,1787,0.8500279798545047,0.7954609129424628,0.8464808249089765,0.5940387194487857,35.25902610000003,4.903048299999682
relevance,2023,13980,1811,0.8884594146880177,0.8590711428342486,0.8894544226830665,0.7187758425190819,52.62668960000019,6.848560200000065
