model,fold,regime,audit_repeats,reliable_repeats,low_fidelity_repeats,low_fidelity_fraction,fidelity_r2_median_all,fidelity_r2_q1_all,fidelity_r2_q3_all,spearman_abs_median_reliable,spearman_abs_q1_reliable,spearman_abs_q3_reliable,top_k_jaccard_median_reliable,top_k_jaccard_q1_reliable,top_k_jaccard_q3_reliable,sign_agreement_median_reliable,lime_runtime_seconds_total
lstm,fold_4,Bull,30,24,6,0.2,0.7412518900234141,0.7164032930001307,0.8077763972769909,0.39956984148489355,0.3290390868446008,0.47672402113534734,0.3333333333333333,0.3125,0.456043956043956,0.6570247933884298,1.1792598000465648
lstm,fold_4,Sideway,30,24,6,0.2,0.7378161120297093,0.7089898552195626,0.8404006629199452,0.3691471345346158,0.2590316352797723,0.43069706001896746,0.3333333333333333,0.25,0.4285714285714285,0.6528925619834711,1.1658625999698407
lstm,fold_4,Bear,30,20,10,0.3333333333333333,0.7796101510582825,0.5667127425469916,0.8472470515121886,0.4043083593009076,0.37139953935781045,0.44736654924806923,0.4285714285714285,0.3125,0.5384615384615384,0.6735537190082644,1.1525349000003178
lstm_attention,fold_1,Bull,30,0,30,1.0,0.15844076441790111,0.144805847110439,0.18018541678425887,,,,,,,,2.967507299981661
lstm_attention,fold_1,Sideway,30,0,30,1.0,0.1450937992341737,0.13174644333928692,0.21680332310172987,,,,,,,,2.762381699969409
lstm_attention,fold_1,Bear,30,0,30,1.0,0.1733291396667319,0.14088883170792144,0.21780251876146312,,,,,,,,2.698956099950009
lstm_attention,fold_2,Bull,30,0,30,1.0,0.19932753296181155,0.15254177039664288,0.2241301508206479,,,,,,,,2.046112599986371
lstm_attention,fold_2,Sideway,30,0,30,1.0,0.2155546584683854,0.1852001232577904,0.2555592812961144,,,,,,,,2.074248499993699
lstm_attention,fold_2,Bear,30,0,30,1.0,0.3047066376961806,0.20455349343578155,0.6261797399328911,,,,,,,,2.084765699968556
lstm_attention,fold_3,Bull,30,5,25,0.8333333333333334,0.41800417697617653,0.286774762009015,0.5248725288915198,0.2985096870342771,0.2963487332339791,0.3003454816420539,0.4285714285714285,0.3333333333333333,0.4285714285714285,0.6198347107438017,2.05824430004577
lstm_attention,fold_3,Sideway,30,8,22,0.7333333333333333,0.6675611258828205,0.5754161990751812,0.712473429916685,0.2925721446958406,0.2815251998374203,0.33497154857065425,0.3333333333333333,0.3125,0.4285714285714285,0.640495867768595,2.156379600011859
lstm_attention,fold_3,Bear,30,20,10,0.3333333333333333,0.7235122811200188,0.645720719222337,0.775456385089205,0.2796944858420267,0.23814862484758154,0.3127929819807613,0.3333333333333333,0.25,0.3571428571428571,0.6363636363636364,2.1314297999924734
lstm_attention,fold_4,Bull,30,25,5,0.16666666666666666,0.7373404162638362,0.72013652364781,0.8117732267215224,0.3421894052296436,0.3017274082102695,0.3701463216366345,0.3333333333333333,0.25,0.5384615384615384,0.6528925619834711,2.1786949999950584
lstm_attention,fold_4,Sideway,30,24,6,0.2,0.7325607490411901,0.71129336340166,0.8415521713808003,0.30649979677550454,0.22896457119631478,0.3664171521474054,0.29166666666666663,0.25,0.4285714285714285,0.6487603305785123,2.178385800012619
lstm_attention,fold_4,Bear,30,20,10,0.3333333333333333,0.7782619232363659,0.5594184697739477,0.8505563653981477,0.3091552635144288,0.24092094567131817,0.38290373933071387,0.4285714285714285,0.25,0.456043956043956,0.6363636363636364,2.1504183999932125
lstm_cnn,fold_1,Bull,30,0,30,1.0,0.15334409504330876,0.13915395636169225,0.1741846620682674,,,,,,,,4.308266500011085
lstm_cnn,fold_1,Sideway,30,0,30,1.0,0.14040793882755886,0.12951681305453602,0.2079603018807834,,,,,,,,3.8746669000393004
lstm_cnn,fold_1,Bear,30,0,30,1.0,0.17628773867101094,0.1373208648070501,0.2230832738435532,,,,,,,,3.231297900012577
lstm_cnn,fold_2,Bull,30,0,30,1.0,0.19844559320999727,0.13729408385622233,0.21602414048754426,,,,,,,,2.946751699986634
lstm_cnn,fold_2,Sideway,30,0,30,1.0,0.20210055922401315,0.180399558226965,0.23981162124192676,,,,,,,,2.919732700000167
lstm_cnn,fold_2,Bear,30,0,30,1.0,0.29502892579158335,0.2073173390182043,0.6070232249107064,,,,,,,,3.014328099990961
lstm_cnn,fold_3,Bull,30,5,25,0.8333333333333334,0.41500826467137375,0.2945900124225983,0.5280214857345482,0.3144289391681343,0.2938829426906922,0.3261685408481234,0.25,0.25,0.25,0.6694214876033058,3.0568511999590546
lstm_cnn,fold_3,Sideway,30,9,21,0.7,0.6733270629114643,0.5834195887901581,0.7038618655443969,0.3102086438152011,0.1826378539493293,0.3266224088876845,0.1764705882352941,0.1764705882352941,0.25,0.6363636363636364,2.9846180999738854
lstm_cnn,fold_3,Bear,30,20,10,0.3333333333333333,0.7267138806400161,0.6541558313971026,0.7690021212106355,0.2946247120986315,0.24358149302262555,0.3495986316217314,0.1764705882352941,0.1764705882352941,0.2708333333333333,0.628099173553719,3.0700438999629105
lstm_cnn,fold_4,Bull,30,25,5,0.16666666666666666,0.7498780797749562,0.7350278103979173,0.819667705993242,0.3455087386532989,0.3117463758298333,0.417030212708305,0.3333333333333333,0.25,0.4285714285714285,0.6611570247933884,2.9293873000278827
lstm_cnn,fold_4,Sideway,30,25,5,0.16666666666666666,0.7446358550968302,0.7264439922102668,0.8529795217845381,0.3314997967755046,0.2652215146999051,0.3594838097818722,0.3333333333333333,0.1764705882352941,0.3333333333333333,0.628099173553719,3.0509448999800943
lstm_cnn,fold_4,Bear,30,20,10,0.3333333333333333,0.7910254346518004,0.5774242461607176,0.8602186046164272,0.31283362687982647,0.27195501964503443,0.36523336946213236,0.25,0.1764705882352941,0.3333333333333333,0.6446280991735537,2.926091000001178
lstm_cnn_attention,fold_1,Bull,30,0,30,1.0,0.1538757699354445,0.1453972364515477,0.1740969512340679,,,,,,,,5.048211800036369
lstm_cnn_attention,fold_1,Sideway,30,0,30,1.0,0.14239241655302495,0.130973009720049,0.1998492525448715,,,,,,,,4.77175340001122
lstm_cnn_attention,fold_1,Bear,30,0,30,1.0,0.17086220247180528,0.13048681130680886,0.21496076542037457,,,,,,,,3.8644027000264027
lstm_cnn_attention,fold_2,Bull,30,0,30,1.0,0.19241577786288666,0.13860790474002482,0.217534468127821,,,,,,,,3.6625309000082766
lstm_cnn_attention,fold_2,Sideway,30,0,30,1.0,0.19486618820072682,0.17226652498931305,0.23207358073705997,,,,,,,,3.5748058999597543
lstm_cnn_attention,fold_2,Bear,30,0,30,1.0,0.2789156281439587,0.1910088551720822,0.5923887464627081,,,,,,,,3.5180814000050296
lstm_cnn_attention,fold_3,Bull,30,3,27,0.9,0.39761433890668507,0.27492415800939574,0.5076391963030288,0.2858217043761007,0.2376033057851239,0.36198347107438006,0.4285714285714285,0.33928571428571425,0.4285714285714285,0.6528925619834711,3.4838136000034856
lstm_cnn_attention,fold_3,Sideway,30,6,24,0.8,0.6515238644934973,0.5602691708842302,0.6858670741964723,0.24903468364720213,0.21808698008399935,0.26932326243056487,0.25,0.25,0.3839285714285714,0.640495867768595,3.6386793999990905
lstm_cnn_attention,fold_3,Bear,30,16,14,0.4666666666666667,0.7058846411311586,0.6265287315088086,0.7548928171545305,0.23708508332204295,0.20207458338978448,0.2819468906652214,0.29166666666666663,0.1764705882352941,0.3333333333333333,0.6239669421487604,3.9845083999534827
lstm_cnn_attention,fold_4,Bull,30,24,6,0.2,0.7344510781491635,0.7142805917227559,0.7780710943532902,0.2393273269204714,0.19205900284514282,0.27433952039019094,0.25,0.1764705882352941,0.3333333333333333,0.6528925619834711,3.467607300000963
lstm_cnn_attention,fold_4,Sideway,30,24,6,0.2,0.7345219049206176,0.7117371087213021,0.8299426168742966,0.23551686763311191,0.16258806394797443,0.26226459829291415,0.25,0.25,0.3333333333333333,0.628099173553719,3.605818499927408
lstm_cnn_attention,fold_4,Bear,30,20,10,0.3333333333333333,0.7822269588133024,0.5583534542373543,0.8395625956888866,0.24615566996341948,0.1675636770085353,0.2897066793117463,0.25,0.1764705882352941,0.4285714285714285,0.6570247933884298,3.4805836999730664
