model,fold,test_year,fit_seconds,shap_seconds,lime_seconds,model_inference_seconds,cell_wall_seconds,audit_instances,lime_repeats,lime_instances_per_second
cnn,fold_1,2022,5.371528400006355,0.48205560000496916,3.789696800071397,1.721634500048817,12.38084820000222,18,90,4.749720346931418
cnn,fold_2,2023,6.834043099996052,0.4114149999950314,2.9356355000199983,1.3536153999593763,11.541560600002413,18,90,6.131551413612957
cnn,fold_3,2024,6.120776700001443,0.4013822000124492,3.004168299929006,1.3622534000169209,10.757247300003655,18,90,5.991674967219836
cnn,fold_4,2025,6.6850143000046955,0.4317408999922918,2.890396599963424,1.3334233000641647,11.26237919999403,18,90,6.227519088635718
lstm,fold_1,2022,6.285216899996158,0.8405501999950502,4.939447799974005,3.6637124000408177,14.83597820000432,18,90,3.644132042471373
lstm,fold_2,2023,7.732701199987787,0.6421215000009397,3.5545783000270603,2.5238512000942097,13.407454499989399,18,90,5.063891826454623
lstm,fold_3,2024,7.197355199998128,0.6947952000045916,3.5413386000145692,2.536908200025205,12.877633399999468,18,90,5.082823766110913
lstm,fold_4,2025,7.3541087999910815,0.6484914000029676,3.4976573000167264,2.4972770999738674,12.976378599996679,18,90,5.1463017831718165
lstm_attention,fold_1,2022,10.918183900008444,1.338828599997214,8.428845099901082,6.948090699981545,23.56770489999326,18,90,2.1355238809894894
lstm_attention,fold_2,2023,11.441010200011078,0.9486213000054704,6.20512679994863,5.020379800000224,20.405887499990058,18,90,2.900827103186516
lstm_attention,fold_3,2024,12.328637400001753,0.9932507000048645,6.346053700050106,5.1515082998957915,21.403208299991093,18,90,2.836408396584775
lstm_attention,fold_4,2025,13.43882680000388,0.9727471999940462,6.507499200000893,5.118696599995014,22.67212999999174,18,90,2.7660395255980252
lstm_cnn,fold_1,2022,11.420142100003432,1.3009931999986293,11.414231300062966,9.528892300004369,26.970492199994624,18,90,1.5769787317960435
lstm_cnn,fold_2,2023,12.31326419999823,1.0002026000001933,8.880812499977765,7.248007199959826,23.81854310000199,18,90,2.026841575592894
lstm_cnn,fold_3,2024,12.932005199996638,1.0021927000052528,9.111513199895853,7.34678579997853,24.72337159999006,18,90,1.9755225729361556
lstm_cnn,fold_4,2025,13.910329399994225,1.0058074999978999,8.906423200009158,7.3098498000181245,25.466084100000444,18,90,2.0210133288952057
lstm_cnn_attention,fold_1,2022,15.520364900003187,1.7254393999901367,13.684367900073994,11.208696700006836,34.21874280000338,18,90,1.315369488122478
lstm_cnn_attention,fold_2,2023,16.779116599995177,1.3447469999955501,10.755418199973064,8.839556599996282,30.812275000003865,18,90,1.6735750916728722
lstm_cnn_attention,fold_3,2024,17.6438516999915,1.3157152000057977,11.107001399956062,9.361252799935752,32.06997580001189,18,90,1.6205994175953924
lstm_cnn_attention,fold_4,2025,19.017397899995558,1.3546629999909783,10.55400949990144,8.905729200007041,32.88496560000931,18,90,1.7055129617012468
