Date,Close_D,Open_D,High_D,Low_D,Volume_D,Change_pct_D,Close_W,Open_W,High_W,Low_W,Volume_W,Change_pct_W,Close_M,Open_M,High_M,Low_M,Volume_M,Change_pct_M,Target_Next_Close
2012-02-01,0.150292642140468,0.184144137696588,0.11928644705345959,0.2150546954908723,7.14300760285606e-05,0.5689079637577491,0.02666989138560294,0.09313217474489788,0.0,0.19296790479624937,0.07277863583728347,0.712536023054755,0.02436263090287616,0.0,0.0,0.17784820937161916,0.037985611510791356,0.564335290977042,0.15834980237154128
2012-02-02,0.15834980237154128,0.19645381188384547,0.13628937269653085,0.2310559436922488,3.109413917996099e-05,0.5846447305674773,0.02666989138560294,0.09313217474489788,0.0,0.19296790479624937,0.07277863583728347,0.712536023054755,0.02436263090287616,0.0,0.0,0.17784820937161916,0.037985611510791356,0.564335290977042,0.1689153238066281
2012-02-03,0.1689153238066281,0.199996421606341,0.1370302823055587,0.2305185236551497,2.1357878561333492e-05,0.5927515498330949,0.02666989138560294,0.09313217474489788,0.0,0.19296790479624937,0.07277863583728347,0.712536023054755,0.02436263090287616,0.0,0.0,0.17784820937161916,0.037985611510791356,0.564335290977042,0.16294846457889944
2012-02-06,0.16294846457889944,0.21590238142098017,0.1489228314145674,0.2372449421840057,1.1998550318084298e-05,0.5383881735813065,0.06356360758102131,0.11686862244897966,0.033901188881090505,0.2166786873422284,0.17328956098702375,0.7312680115273775,0.02436263090287616,0.0,0.0,0.17784820937161916,0.037985611510791356,0.564335290977042,0.1726968683490422
2012-02-07,0.1726968683490422,0.20405789840940414,0.14217865420418696,0.2342804639148448,1.5296360879050835e-05,0.5898903195040534,0.06356360758102131,0.11686862244897966,0.033901188881090505,0.2166786873422284,0.17328956098702375,0.7312680115273775,0.02436263090287616,0.0,0.0,0.17784820937161916,0.037985611510791356,0.564335290977042,0.19633627242322893
2012-02-08,0.19633627242322893,0.21951655901665768,0.1707131729928948,0.2552571814919473,4.4307635733812586e-05,0.6347162613257034,0.06356360758102131,0.11686862244897966,0.033901188881090505,0.2166786873422284,0.17328956098702375,0.7312680115273775,0.02436263090287616,0.0,0.0,0.17784820937161916,0.037985611510791356,0.564335290977042,0.19886363636363624
2012-02-09,0.19886363636363624,0.23368699790663983,0.17166305710703278,0.26063138186294044,3.457137511518509e-05,0.5660467334287076,0.06356360758102131,0.11686862244897966,0.033901188881090505,0.2166786873422284,0.17328956098702375,0.7312680115273775,0.02436263090287616,0.0,0.0,0.17784820937161916,0.037985611510791356,0.564335290977042,0.19219367588932812
2012-02-10,0.19219367588932812,0.23177255729902857,0.17061818458148115,0.26108212124889474,3.669179358848474e-06,0.5364806866952789,0.06356360758102131,0.11686862244897966,0.033901188881090505,0.2166786873422284,0.17328956098702375,0.7312680115273775,0.02436263090287616,0.0,0.0,0.17784820937161916,0.037985611510791356,0.564335290977042,0.19764746123441768
2012-02-13,0.19764746123441768,0.23109266250380212,0.1696113074204948,0.2637172130437042,0.0,0.5755841678588459,0.09049733960687756,0.16165098852040805,0.07267274931410705,0.24367111431662458,0.14840421939046425,0.7082132564841499,0.02436263090287616,0.0,0.0,0.17784820937161916,0.037985611510791356,0.564335290977042,0.18252128306476134
2012-02-14,0.18252128306476134,0.22942870945232707,0.17109312663855003,0.25010835081393124,3.318048074109545e-05,0.5092989985693848,0.09049733960687756,0.16165098852040805,0.07267274931410705,0.24367111431662458,0.14840421939046425,0.7082132564841499,0.02436263090287616,0.0,0.0,0.17784820937161916,0.037985611510791356,0.564335290977042,0.21241258741258728
2012-02-15,0.21241258741258728,0.22987600865971292,0.18222576845624827,0.26548549832706336,8.951170289172596e-05,0.6547448736289938,0.09049733960687756,0.16165098852040805,0.07267274931410705,0.24367111431662458,0.14840421939046425,0.7082132564841499,0.02436263090287616,0.0,0.0,0.17784820937161916,0.037985611510791356,0.564335290977042,0.20344329583459997
