fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share,runtime_seconds,tuning_runtime_seconds_this_run,tuning_trial_runtime_seconds_total
fold_1,2012,2021,2022,2358,241,6.836087088536069,5.163497428126527,0.5257206558860557,0.9056581905084184,0.5333333333333333,0.504040475019324,0.009556809345142997,1.0,240,1,0,25,82,30,103,0.7708333333333334,0.02039389999845298,6.00004568696022e-07,1.1331339999999999
fold_2,2012,2022,2023,2599,243,7.436600882235677,5.682842019117797,0.6135975865443065,0.9720656410648275,0.5413223140495868,0.5443393640350878,0.08896881300610447,1.0,242,1,0,63,65,46,68,0.5495867768595041,0.019730299994989764,6.999980541877449e-07,1.170639
fold_3,2012,2023,2024,2842,244,6.783127150403428,5.113107045272923,0.5911514088369205,0.9762736819415468,0.4918032786885246,0.501379635237903,0.0031182136731179584,1.0,244,0,0,34,93,31,86,0.7336065573770492,0.021137299998372328,8.999995770864189e-07,1.127516
fold_4,2012,2024,2025,3086,234,9.950444922339594,7.71230843577022,0.9780525926388697,0.9617788536677999,0.452991452991453,0.45921052631578946,-0.09338366113496058,1.0,234,0,0,26,94,34,80,0.7435897435897436,0.02445080000325106,1.0000003385357559e-06,1.131384
