symbol,mean_attention_when_active,active_test_days
ITC,0.020953981,119
KBANK,0.020910427,234
BH,0.02088125,234
SCB,0.020879904,234
BBL,0.020875182,234
SCC,0.0208489,234
BEM,0.020823123,234
CCET,0.020794243,234
EGCO,0.020791419,234
MINT,0.020779543,234
ADVANC,0.020779429,234
BGRIM,0.020776844,119
CBG,0.020758,234
TISCO,0.020752005,234
PTTEP,0.020751234,234
SCGP,0.020743767,234
LH,0.020725086,234
CPF,0.020694979,234
AOT,0.020682288,234
KTC,0.020675493,234
WHA,0.020671459,234
OSP,0.02066642,234
TLI,0.020663317,234
GLOBAL,0.020659758,119
DELTA,0.020655056,234
PTT,0.02064682,234
CPALL,0.020642338,234
BJC,0.020632531,234
TTB,0.020625273,234
BTS,0.020601474,234
COM7,0.020600159,234
MTC,0.020598467,234
RATCH,0.020597449,234
BDMS,0.020595558,234
KTB,0.02059311,234
TRUE,0.020579604,234
BCP,0.020573609,115
TU,0.02056749,234
CPN,0.020563127,234
PTTGC,0.020560076,234
IVL,0.02055951,234
SAWAD,0.020554226,119
TOP,0.02055309,234
CRC,0.02055025,234
AWC,0.020543242,234
GULF,0.020543143,156
OR,0.020539453,234
VGI,0.020504566,171
HMPRO,0.02050262,234
KKP,0.020500118,115
TCAP,0.0204623,115
GPSC,0.020417176,234
TIDLOR,0.020400202,115
BANPU,,0
CENTEL,,0
EA,,0
GULFI,,0
INTUCH,,0
KCE,,0
