fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,runtime_seconds
fold_1,2012,2021,2022,2359,241,9.815549170801292,7.684489752108634,0.7830746319915223,0.8055006142034448,0.5435684647302904,7.767333400028292
fold_2,2012,2022,2023,2600,243,16.523489443646305,13.840074900285718,1.5089135324190106,0.8620907818736645,0.49794238683127573,6.984090199985076
fold_3,2012,2023,2024,2843,244,12.012078798284328,9.552318383738651,1.1172569124503013,0.9255942023448188,0.5204918032786885,7.32464320003055
fold_4,2012,2024,2025,3087,234,19.37676810816485,15.85440531508538,2.0496056882668627,0.8550622911572534,0.5085470085470085,7.541277199983597
