model,fold,test_year,base_seed,arm,window,models_in_arm,unique_fits_executed_when_reached,identical_fits_reused_when_reached,conceptual_fit_seconds,conceptual_inference_seconds,conceptual_trainable_parameters,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share
lstm_cnn,fold_1,2022,123,Global-All,20,1,1,0,16.18887439998798,0.8036346000008052,10737,241,26.90280261628271,19.416014862495825,1.9764265228676563,-0.46111392160051246,0.4875,0.5010540369615628,0.0021643956935035757,1.0,240,1,0,67,40,83,50,0.375
lstm_cnn,fold_1,2022,123,Global3-All,20,3,3,0,48.31569930000114,2.06830890000856,32211,241,24.476674214688096,18.575796338961162,1.8920158344988878,-0.20946649824579722,0.49583333333333335,0.5030918417539174,0.006202672327046708,1.0,240,1,0,61,46,75,58,0.43333333333333335
lstm_cnn,fold_1,2022,123,Global-SHAP,20,1,0,1,16.18887439998798,0.8036346000008052,10737,241,26.90280261628271,19.416014862495825,1.9764265228676563,-0.46111392160051246,0.4875,0.5010540369615628,0.0021643956935035757,1.0,240,1,0,67,40,83,50,0.375
lstm_cnn,fold_1,2022,123,Global-Spearman,20,1,0,1,16.18887439998798,0.8036346000008052,10737,241,26.90280261628271,19.416014862495825,1.9764265228676563,-0.46111392160051246,0.4875,0.5010540369615628,0.0021643956935035757,1.0,240,1,0,67,40,83,50,0.375
lstm_cnn,fold_1,2022,123,Regime-All,20,3,3,0,21.06023799999093,1.837571800002479,32211,241,19.89827021540994,15.98896247044638,1.6224192431618816,0.20068184605019945,0.5041666666666667,0.5005621530461668,0.0011201811936567957,1.0,240,1,0,50,57,62,71,0.5333333333333333
lstm_cnn,fold_1,2022,123,Regime-SHAP,20,3,2,1,24.24843609999516,1.937357200004044,23635,241,14.196474779686595,11.704897958233152,1.1916036211553167,0.5931352558936156,0.525,0.5303211299276227,0.060540247149909486,1.0,240,1,0,62,45,69,64,0.45416666666666666
lstm_cnn,fold_1,2022,123,Regime-Spearman,20,3,2,1,25.139107599985437,1.8772376999841072,23635,241,15.358362756494714,12.637958250797636,1.2836866626828638,0.5238115354466804,0.5166666666666667,0.5209753355350994,0.041821564690923047,1.0,240,1,0,60,47,69,64,0.4625
