fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy
fold_1,2012,2021,2022,2419,241,42.3901794641456,37.813263718517966,3.8104436086322315,-2.6276012148907415,0.4605809128630705
fold_2,2012,2022,2023,2660,243,23.375198969470194,18.795535116548894,2.0465524931583343,0.7240055212345798,0.49794238683127573
fold_3,2012,2023,2024,2903,244,19.33819357988096,15.297841495646798,1.7534312918704393,0.8071577284651137,0.5040983606557377
fold_4,2012,2024,2025,3147,234,57.09056356175682,45.775736780156464,5.983045908698444,-0.25819330014132946,0.5256410256410257
