inner_fold,validation_year,seed,variant,training_sequences,trainable_parameters,fit_seconds,inference_seconds,final_training_loss,observations,balanced_accuracy,direction_accuracy,mcc,binary_crossentropy,brier_score
inner_2021,2021,789,direct_numeric_lstm,468,9041,3.117183300011675,0.33643310000479687,0.5238528251647949,240,0.5064803846421853,0.4875,0.017026078118175286,0.7906264820430887,0.289045479238012
inner_2021,2021,789,concat_lstm,468,9553,2.9839016999903833,0.39894600000116043,0.48898252844810486,240,0.5133440178384782,0.49166666666666664,0.03971949350075497,0.8430754035132169,0.3069705676949789
inner_2021,2021,789,bounded_residual,468,9347,4.449743300006958,0.0259896000061417,0.7691546082496643,240,0.5315657445474183,0.5125,0.08293347728530542,0.8407167115628881,0.30502712087008715
inner_2021,2021,789,random_control_fcg,468,9347,4.874174699987634,0.05750110000371933,0.8548057675361633,240,0.5335168280956031,0.5125,0.09595352218820695,0.8283611907370967,0.30237740101212224
inner_2021,2021,789,matched_control_fcg,468,9347,4.866102999993018,0.051412600005278364,0.8774868249893188,240,0.5246672705734792,0.5041666666666667,0.06896453961966158,0.840715093679637,0.30708014073060436
