arm,pairs,accuracy,macro_f1,weighted_f1,mcc,log_loss,multiclass_brier_score,mean_confidence
single,1333,0.6984246061515379,0.6177580575713345,0.6738967168495923,0.5484486262439493,0.644427764651431,0.3970117959489875,0.8084388597149176
self_consistency_3,1333,0.7066766691672918,0.6273312819411586,0.6828887610717378,0.5612299155262428,0.6336546102350881,0.39000364724514464,0.8032730682670631
self_consistency_4,1333,0.705926481620405,0.6262780810891783,0.682585384760345,0.5602755676298513,0.6301788226691194,0.3885142465303826,0.8025997749437329
leader,1333,0.7659414853713429,0.7025319333628998,0.7696583562069895,0.6190105360497348,0.5933044040641394,0.34825533083270815,0.7443758439609903
