model,variant,test_year,observations,balanced_accuracy,direction_accuracy,mcc,tn,fp,fn,tp,predicted_up_share,brier
pit_set50_crin,bottom_only,2024,243,0.49633699633699635,0.48148148148148145,-0.012269245987824173,12,114,12,105,0.9012345679012346,0.2500659429525406
pit_set50_crin,bottom_only,2025,234,0.518640350877193,0.5170940170940171,0.03753815015841099,55,65,48,66,0.5598290598290598,0.24995162160400877
pit_set50_crin,majority_vote,2024,243,0.5222832722832723,0.5102880658436214,0.058349607699025766,25,101,18,99,0.823045267489712,0.3813991769547325
pit_set50_crin,majority_vote,2025,234,0.5390350877192982,0.5299145299145299,0.1107321538990403,22,98,12,102,0.8547008547008547,0.39076923076923076
pit_set50_crin,pit_set50_crin,2024,243,0.5097680097680097,0.5020576131687243,0.021464505444360498,38,88,33,84,0.7078189300411523,0.25116038564752347
pit_set50_crin,pit_set50_crin,2025,234,0.5276315789473685,0.5213675213675214,0.06325989947852169,34,86,26,88,0.7435897435897436,0.2494526350655825
pit_set50_crin,top_only_stack,2024,243,0.5311355311355311,0.51440329218107,0.14360443902592007,10,116,2,115,0.9506172839506173,0.25637142605278695
pit_set50_crin,top_only_stack,2025,234,0.5114035087719299,0.5,0.04976726017934395,8,112,5,109,0.9444444444444444,0.2517907208070223
