test_year,seed,total_seconds,bottom_fit_seconds,leader_fit_seconds,top_only_fit_seconds,bottom_parameters,leader_parameters
2024,123,320.8091398999968,288.380322099998,7.896840200002771,6.344732199999271,586,63
2024,2025,390.0904826000042,374.65978470000846,2.7879237000015564,3.1436541000002762,586,63
2024,42,206.1763792999991,181.31034389999695,3.9098931000044104,1.9464473999978509,586,63
2024,456,254.59579510000185,233.6223481999914,2.787228100001812,7.0838249000080395,586,63
2024,789,331.0900044000009,300.92810279999685,2.2328407000022708,5.036064700005227,586,63
2025,123,550.8958708999999,527.5933857999917,3.814945699996315,5.7486846999963745,586,63
2025,2025,544.1820095000003,513.8735826000047,3.6698494000011124,4.047271100003854,586,63
2025,42,513.086890400009,489.9287955999898,4.480664999995497,6.204394500004128,586,63
2025,456,327.376425800001,301.244014099997,5.945522800000617,4.308503099993686,586,63
2025,789,545.152217099996,514.5902793999994,4.086570100000245,7.209861600000295,586,63
