rank,model,label,balanced_accuracy_mean,balanced_accuracy_sd,direction_accuracy_mean,direction_accuracy_sd,mcc_mean,predicted_up_share_mean,temporal_folds,observations
1,lstm_attention,LSTM-Attention,0.5375465908360646,0.0008645142672112572,0.5283317505539729,0.0022383880379440524,0.09380163443126156,0.7970876859765749,2,477
2,lstm_cnn_attention,LSTM-CNN-Attention,0.5315291433712486,0.001170104724346322,0.51994301994302,0.0020145492341497534,0.09312468086237369,0.867837923393479,2,477
3,lstm,LSTM,0.5314239123449649,0.0008395217391183936,0.5241373852484963,0.002126468636047001,0.07116897660796204,0.7340139284583729,2,477
4,cnn,CNN,0.525366702011439,0.020677340912806017,0.5216840772396327,0.024622268417385285,0.05244088895959991,0.6373852484963596,2,477
5,lstm_cnn,LSTM-CNN,0.5251570432491486,0.03730418823856635,0.5141658752769864,0.04040290408489129,0.06886368649605003,0.8489237100348211,2,477
6,pit_set50_crin,PIT-SET50-CRIN,0.5186997943576891,0.01263145090291956,0.5117125672681229,0.013654167031459124,0.042362202461441095,0.7257043368154479,2,477
