variant,balanced_accuracy_mean,balanced_accuracy_sd,direction_accuracy_mean,direction_accuracy_sd,mcc_mean,predicted_up_share_mean,temporal_folds,observations
majority_vote,0.5306591800012852,0.011845322291999423,0.5201012978790757,0.01387800583525354,0.08454088079903303,0.8388730610952833,2,477
top_only_stack,0.5212695199537305,0.01395264681982707,0.507201646090535,0.010184665572645739,0.09668584960263202,0.9475308641975309,2,477
pit_set50_crin,0.5186997943576891,0.01263145090291956,0.5117125672681229,0.013654167031459124,0.042362202461441095,0.7257043368154479,2,477
bottom_only,0.5074886736070947,0.015770853238580754,0.4992877492877493,0.025181865426871387,0.012634452085293409,0.7305318138651472,2,477
