fold,split,regime,rows,share,mean_routing_confidence,mean_log_return,mean_ewma_volatility,observed_mean_run_days
fold_1,train,bull,1145,0.4853751589656634,0.9665451913845954,0.00018357859000389296,0.006310444625822345,54.523809523809526
fold_1,train,sideway,346,0.14667231877914372,0.9575671006846128,0.00044352094965651216,0.019236422528350575,38.44444444444444
fold_1,train,bear,868,0.36795252225519287,0.9363588459436896,-0.0002717904565291086,0.010081982397439272,29.93103448275862
fold_1,test,bull,186,0.7717842323651453,0.9612152267039773,9.259492391585567e-05,0.006408027488787727,31.0
fold_1,test,sideway,0,0.0,,,,
fold_1,test,bear,55,0.22821576763485477,0.8953312292601147,-4.915072663956805e-05,0.008420236161519202,11.0
fold_2,train,bull,1010,0.38846153846153847,0.9604276162182477,0.0004002001392196864,0.0059333015183109985,43.91304347826087
fold_2,train,sideway,392,0.15076923076923077,0.9497236505073563,0.0007284073921313595,0.01846095261087763,35.63636363636363
fold_2,train,bear,1198,0.46076923076923076,0.9479142994970065,-0.00045699236609003256,0.00923046757695585,36.303030303030305
fold_2,test,bull,101,0.4156378600823045,0.9225828725359146,-0.0008761801183614036,0.006251459341417101,25.25
fold_2,test,sideway,0,0.0,,,,
fold_2,test,bear,142,0.5843621399176955,0.9646329541603158,-0.00035195666312987057,0.008581224152237964,47.333333333333336
fold_3,train,bull,1278,0.44952514948997535,0.9576049666039881,0.0001896274552175145,0.006173432475725824,44.06896551724138
fold_3,train,sideway,375,0.13190291945128385,0.9553979091719936,0.0005156898140798288,0.018728003601923837,41.666666666666664
fold_3,train,bear,1190,0.41857193105874074,0.9321295181293817,-0.0003629736322818029,0.00943253048954044,32.16216216216216
fold_3,test,bull,172,0.7049180327868853,0.9392698386893742,0.00017363570963538274,0.006667036213666018,24.571428571428573
fold_3,test,sideway,15,0.06147540983606557,0.893113391731435,0.0007388890991574933,0.008975819895224469,15.0
fold_3,test,bear,57,0.2336065573770492,0.8749657265482189,-0.00010815967402769614,0.008278762814392012,8.142857142857142
fold_4,train,bull,1576,0.5105280207321024,0.9568298440311909,2.48706031322377e-05,0.006316489541055764,46.35294117647059
fold_4,train,sideway,389,0.12601230968577906,0.9492531039925038,0.0005780029803135592,0.018377126781460536,35.36363636363637
fold_4,train,bear,1122,0.36345966958211856,0.9286037512865654,-0.0002009507193589463,0.0096141947505877,26.093023255813954
fold_4,test,bull,19,0.0811965811965812,0.9498149527954581,-0.0003520141657112269,0.008001355026746293,19.0
fold_4,test,sideway,93,0.3974358974358974,0.9383377069129547,0.001655410289685151,0.014767598816222506,31.0
fold_4,test,bear,122,0.5213675213675214,0.9234592145500579,-0.0019407559186595748,0.009828074122759722,24.4
