fold,hidden_state,regime,ewma_return_mean,ewma_volatility_mean,self_transition_probability,expected_duration_days
fold_1,0,bear,-0.0006515728354254714,0.010152091518972345,0.9717112626044039,35.3497572555386
fold_1,1,bull,0.0006609869997140751,0.006375918772305047,0.9860120828135256,71.49027168726366
fold_1,2,sideway,-0.0002877928068499217,0.0193754391850506,0.9758036571088679,41.32855962983131
fold_2,0,bear,-0.0005294826134680937,0.009279905771339506,0.9794720629348829,48.7141010237842
fold_2,1,bull,0.0008515091456872359,0.00597735162845334,0.9844409970315853,64.27147048111193
fold_2,2,sideway,-0.0002775598922588368,0.018648060673651497,0.9773857421589817,44.21989025817923
fold_3,1,bear,-0.0007205202662942715,0.009480716776275244,0.9725772779029037,36.46610998205343
fold_3,0,bull,0.0007220495633821019,0.006242008585111232,0.9820518249690785,55.7159710264235
fold_3,2,sideway,-0.00026409064994438106,0.01887248387905352,0.97663846372472,42.80540407174112
fold_4,2,bear,-0.0007292351712655067,0.009662849572128223,0.9681144735925079,31.362191961962765
fold_4,0,bull,0.0005803982905052023,0.006376109752628607,0.9823183433831315,56.55578669285938
fold_4,1,sideway,-0.00017190964653156533,0.018697593254841105,0.974518776947722,39.24458405895091
