fit_id,model,fold,test_year,base_seed,arm,features,feature_hash,training_sequences,fit_seconds,inference_seconds,trainable_parameters
51af35fa4268ae9d8cac,lstm_cnn_attention,fold_2,2023,2025,News-Only,8,66288c297dd324367a8595f4e4d41a6d0c4f683f0534c571b40ea085d994132d,949,10.803926900000079,0.7196277999973972,5569
88180fd8378617c90503,lstm_cnn_attention,fold_2,2023,2025,Global-Numeric-Shuffled-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,949,11.12022799999977,0.6594157999934396,13377
5aedc029dba6e7383cc9,lstm_cnn_attention,fold_2,2023,2025,Global-Numeric-Lagged-News,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,949,10.951529300000402,0.7267950999957975,13377
eb2d3f3f284cd5ea2a17,lstm_cnn_attention,fold_2,2023,2025,Global-Numeric-Random-Features,130,f5035214080cd6d0502753d540497536f7bd7e3975f6067fbaf290c469eec29a,949,10.770603100005246,0.7196666999952868,13377
