model,arm,balanced_accuracy_mean,balanced_accuracy_std,direction_accuracy_mean,mcc_mean,rmse_mean,mae_mean,temporal_folds
cnn,Global-All,0.5307947964279232,0.023432692024099453,0.5283081951580462,0.07427175728288012,20.830704935602192,16.728919361411208,4
cnn,Global3-All,0.5243710700366917,0.023687982685658387,0.5250057211169357,0.05859548515919198,21.52572751324927,17.467334493280767,4
cnn,Global-SHAP,0.5307947964279232,0.023432692024099453,0.5283081951580462,0.07427175728288012,20.830704935602192,16.728919361411208,4
cnn,Global-Spearman,0.5307947964279232,0.023432692024099453,0.5283081951580462,0.07427175728288012,20.830704935602192,16.728919361411208,4
cnn,Regime-All,0.5307027119701992,0.0260909829812536,0.5280304441584247,0.06408740887801924,19.100129093710393,14.823360037735075,4
cnn,Regime-SHAP,0.5452792987333088,0.019882044244126193,0.5426800425729263,0.0957818148257839,19.668918921582787,15.352584353760527,4
cnn,Regime-Spearman,0.5333192918249076,0.03646927185832453,0.5310849488522738,0.06711986192653983,18.113909363283355,14.229638529976139,4
lstm,Global-All,0.5312207745517072,0.025862480136230315,0.5232456471744847,0.06452381800592964,12.092484040484157,9.525991670069892,4
lstm,Global3-All,0.5321551523130951,0.022298092902444673,0.5251875665111507,0.06518392409400015,11.926700693216556,9.4483687408912,4
lstm,Global-SHAP,0.5312207745517072,0.025862480136230315,0.5232456471744847,0.06452381800592964,12.092484040484157,9.525991670069892,4
lstm,Global-Spearman,0.5312207745517072,0.025862480136230315,0.5232456471744847,0.06452381800592964,12.092484040484157,9.525991670069892,4
lstm,Regime-All,0.5127437677382383,0.021504154781327472,0.5167482785264081,0.025585987273571566,12.479072639555746,9.849013984209229,4
lstm,Regime-SHAP,0.5117305780479124,0.028943187079065756,0.515811260171357,0.02405962580243204,13.377487622370024,10.406996622619564,4
lstm,Regime-Spearman,0.5177704350934149,0.03551694435611983,0.509221206533986,0.03538165352385719,11.722117303558157,9.271489460214404,4
lstm_attention,Global-All,0.5237397235070507,0.02436788505253645,0.5052098169879466,0.10124915601944343,36.429195676650934,30.694244938318768,4
lstm_attention,Global3-All,0.5215225130323148,0.02686130015695012,0.5083564132092449,0.05110712861992511,26.038942721224565,20.44880159458185,4
lstm_attention,Global-SHAP,0.5237397235070507,0.02436788505253645,0.5052098169879466,0.10124915601944343,36.429195676650934,30.694244938318768,4
lstm_attention,Global-Spearman,0.5237397235070507,0.02436788505253645,0.5052098169879466,0.10124915601944343,36.429195676650934,30.694244938318768,4
lstm_attention,Regime-All,0.5064803102597207,0.00782489745013384,0.505103543893596,0.013254094773721978,17.454120295668147,13.85406112388682,4
lstm_attention,Regime-SHAP,0.4961326267579658,0.009550340443428066,0.4957253305148238,-0.008306300636573706,17.680164594912117,14.137793008723921,4
lstm_attention,Regime-Spearman,0.507458605526794,0.01331810914232689,0.5062961163277855,0.015480721294890303,17.13900727976627,13.760103719225508,4
lstm_cnn,Global-All,0.5267632971920999,0.03017924488717922,0.5188711675392003,0.06736453477262536,30.506852470809125,23.723650102716228,4
lstm_cnn,Global3-All,0.5265869194920311,0.028167948270806552,0.52095319453274,0.06040677837898399,31.919645257210775,24.72821146007956,4
lstm_cnn,Global-SHAP,0.5267632971920999,0.03017924488717922,0.5188711675392003,0.06736453477262536,30.506852470809125,23.723650102716228,4
lstm_cnn,Global-Spearman,0.5267632971920999,0.03017924488717922,0.5188711675392003,0.06736453477262536,30.506852470809125,23.723650102716228,4
lstm_cnn,Regime-All,0.5318006455778508,0.016800014840673734,0.5311680081799307,0.06848827761863241,19.85331610740851,15.464463623171726,4
lstm_cnn,Regime-SHAP,0.5323351867140959,0.02620431799027484,0.5321378732006526,0.0663726100738402,18.890702976134172,14.649351766577968,4
lstm_cnn,Regime-Spearman,0.5433487080614762,0.02487838259820819,0.540666640033257,0.09077188366984336,18.601050655718062,14.628370388022041,4
lstm_cnn_attention,Global-All,0.5110056106576094,0.03772068078375129,0.499147629568643,0.04304421370197145,46.38558997521622,36.277819929760184,4
lstm_cnn_attention,Global3-All,0.5098805186385994,0.03732765117030564,0.4967649562517297,0.05689147440673926,46.39856801256066,36.88743436987197,4
lstm_cnn_attention,Global-SHAP,0.5110056106576094,0.03772068078375129,0.499147629568643,0.04304421370197145,46.38558997521622,36.277819929760184,4
lstm_cnn_attention,Global-Spearman,0.5110056106576094,0.03772068078375129,0.499147629568643,0.04304421370197145,46.38558997521622,36.277819929760184,4
lstm_cnn_attention,Regime-All,0.5374808649363048,0.01377687911426318,0.5312206851560428,0.07854520114276307,22.11974834066347,17.488100603411162,4
lstm_cnn_attention,Regime-SHAP,0.5300825050284987,0.0226374522479532,0.5291872749911126,0.062322238775893296,21.76716498821932,17.296685563663388,4
lstm_cnn_attention,Regime-Spearman,0.5336684552928649,0.03231670477878127,0.5281546405242381,0.07177220286051132,24.561342006413085,19.36691605421531,4
