inference_type,model,contrast,metric,point_estimate,ci95_lower,ci95_upper,raw_pvalue,holm_adjusted_pvalue
four_fold_exact_sign_flip,cnn,regime_shap_reduction,mcc_delta,0.03169440594776467,-0.00982934610572174,0.07321815800125107,0.125,0.625
four_fold_exact_sign_flip,cnn,regime_shap_reduction,rmse_delta,0.5687898278723971,-5.904598077909315,7.042177733654109,0.875,1.0
four_fold_exact_sign_flip,cnn,regime_shap_reduction,mae_delta,0.5292243160254526,-4.552852282363855,5.611300914414761,0.875,1.0
four_fold_exact_sign_flip,lstm,regime_shap_reduction,balanced_accuracy_delta_pp,-0.10131896903258913,-1.7513107901514924,1.5486728520863142,1.0,1.0
four_fold_exact_sign_flip,lstm,regime_shap_reduction,direction_accuracy_delta_pp,-0.0937018355051153,-1.45853596938261,1.2711322983723794,1.0,1.0
four_fold_exact_sign_flip,lstm,regime_shap_reduction,mcc_delta,-0.0015263614711395236,-0.03570405160448013,0.03265132866220109,1.0,1.0
four_fold_exact_sign_flip,lstm,regime_shap_reduction,rmse_delta,0.8984149828142782,-0.3663970798149234,2.16322704544348,0.25,1.0
four_fold_exact_sign_flip,lstm,regime_shap_reduction,mae_delta,0.5579826384103341,-0.347549091003327,1.4635143678239952,0.25,1.0
four_fold_exact_sign_flip,lstm_attention,regime_shap_reduction,balanced_accuracy_delta_pp,-1.0347683501754912,-2.190779092794997,0.12124239244401469,0.125,0.625
four_fold_exact_sign_flip,lstm_attention,regime_shap_reduction,direction_accuracy_delta_pp,-0.9378213378772232,-1.926189173544644,0.05054649779019749,0.125,0.625
four_fold_exact_sign_flip,lstm_attention,regime_shap_reduction,mcc_delta,-0.021560395410295682,-0.04628913347401008,0.0031683426534187126,0.125,0.625
four_fold_exact_sign_flip,lstm_attention,regime_shap_reduction,rmse_delta,0.22604429924396907,-1.4434109022547053,1.8954995007426434,0.625,1.0
four_fold_exact_sign_flip,lstm_attention,regime_shap_reduction,mae_delta,0.28373188483709955,-0.8075871608170584,1.3750509304912575,0.375,1.0
four_fold_exact_sign_flip,lstm_cnn,regime_shap_reduction,balanced_accuracy_delta_pp,0.05345411362450425,-2.4463616751844848,2.5532699024334935,1.0,1.0
four_fold_exact_sign_flip,lstm_cnn,regime_shap_reduction,direction_accuracy_delta_pp,0.09698650207219106,-2.033346287646443,2.2273192917908253,1.0,1.0
four_fold_exact_sign_flip,lstm_cnn,regime_shap_reduction,mcc_delta,-0.0021156675447922234,-0.057922076448222365,0.053690741358637925,1.0,1.0
four_fold_exact_sign_flip,lstm_cnn,regime_shap_reduction,rmse_delta,-0.9626131312743373,-5.454646384348109,3.5294201217994345,0.5,1.0
four_fold_exact_sign_flip,lstm_cnn,regime_shap_reduction,mae_delta,-0.8151118565937576,-3.3706122356502584,1.7403885224627431,0.375,1.0
four_fold_exact_sign_flip,lstm_cnn_attention,regime_shap_reduction,balanced_accuracy_delta_pp,-0.7398359907806018,-3.102349518025323,1.6226775364641193,0.5,1.0
four_fold_exact_sign_flip,lstm_cnn_attention,regime_shap_reduction,direction_accuracy_delta_pp,-0.20334101649302627,-2.8493086824899487,2.4426266495038966,0.875,1.0
four_fold_exact_sign_flip,lstm_cnn_attention,regime_shap_reduction,mcc_delta,-0.01622296236686979,-0.06888418158894948,0.036438256855209905,0.5,1.0
four_fold_exact_sign_flip,lstm_cnn_attention,regime_shap_reduction,rmse_delta,-0.3525833524441522,-4.827999746016435,4.12283304112813,0.875,1.0
four_fold_exact_sign_flip,lstm_cnn_attention,regime_shap_reduction,mae_delta,-0.19141503974777407,-3.018671397618349,2.6358413181228006,0.875,1.0
