model,fold,test_year,contrast,treatment_arm,control_arm,balanced_accuracy_treatment,direction_accuracy_treatment,mcc_treatment,rmse_treatment,mae_treatment,balanced_accuracy_control,direction_accuracy_control,mcc_control,rmse_control,mae_control,balanced_accuracy_delta_pp,direction_accuracy_delta_pp,mcc_delta,rmse_delta,mae_delta
cnn,fold_2,2023,global_shap_specificity,Global-SHAP,Global-Spearman,0.5385827850877193,0.5413223140495868,0.0774179933886195,17.21074403866364,14.099039346455545,0.5385827850877193,0.5413223140495868,0.0774179933886195,17.21074403866364,14.099039346455545,0.0,0.0,0.0,0.0,0.0
cnn,fold_3,2024,global_shap_specificity,Global-SHAP,Global-Spearman,0.5291405881957063,0.5122950819672131,0.10165652809401098,22.688572296805376,18.870831335919835,0.5291405881957063,0.5122950819672131,0.10165652809401098,22.688572296805376,18.870831335919835,0.0,0.0,0.0,0.0,0.0
cnn,fold_4,2025,global_shap_specificity,Global-SHAP,Global-Spearman,0.5557017543859649,0.5512820512820513,0.11850774369052149,24.602593339527054,19.072767893360226,0.5557017543859649,0.5512820512820513,0.11850774369052149,24.602593339527054,19.072767893360226,0.0,0.0,0.0,0.0,0.0
lstm,fold_1,2022,global_shap_specificity,Global-SHAP,Global-Spearman,0.5554072096128171,0.5416666666666666,0.11352725932757449,11.194413476202588,8.529193671084041,0.5554072096128171,0.5416666666666666,0.11352725932757449,11.194413476202588,8.529193671084041,0.0,0.0,0.0,0.0,0.0
lstm,fold_2,2023,global_shap_specificity,Global-SHAP,Global-Spearman,0.508703399122807,0.5041322314049587,0.01759592906029163,11.676269723237398,9.38779422579871,0.508703399122807,0.5041322314049587,0.01759592906029163,11.676269723237398,9.38779422579871,0.0,0.0,0.0,0.0,0.0
lstm,fold_3,2024,global_shap_specificity,Global-SHAP,Global-Spearman,0.5090181035062925,0.4959016393442623,0.02343681903101102,10.852245171323467,8.693474360413255,0.5090181035062925,0.4959016393442623,0.02343681903101102,10.852245171323467,8.693474360413255,0.0,0.0,0.0,0.0,0.0
lstm,fold_4,2025,global_shap_specificity,Global-SHAP,Global-Spearman,0.5517543859649123,0.5512820512820513,0.10353526460484141,14.647007791173174,11.49350442298356,0.5517543859649123,0.5512820512820513,0.10353526460484141,14.647007791173174,11.49350442298356,0.0,0.0,0.0,0.0,0.0
lstm_attention,fold_1,2022,global_shap_specificity,Global-SHAP,Global-Spearman,0.5035837256693134,0.4791666666666667,0.007978768612179261,19.222542051699886,14.803504870758983,0.5035837256693134,0.4791666666666667,0.007978768612179261,19.222542051699886,14.803504870758983,0.0,0.0,0.0,0.0,0.0
lstm_attention,fold_2,2023,global_shap_specificity,Global-SHAP,Global-Spearman,0.5587308114035088,0.5413223140495868,0.14590719639533886,29.861800560876013,24.404498562958047,0.5587308114035088,0.5413223140495868,0.14590719639533886,29.861800560876013,24.404498562958047,0.0,0.0,0.0,0.0,0.0
lstm_attention,fold_3,2024,global_shap_specificity,Global-SHAP,Global-Spearman,0.5118110236220472,0.4918032786885246,0.10708858410046974,39.6232800119894,35.435487271682206,0.5118110236220472,0.4918032786885246,0.10708858410046974,39.6232800119894,35.435487271682206,0.0,0.0,0.0,0.0,0.0
lstm_attention,fold_4,2025,global_shap_specificity,Global-SHAP,Global-Spearman,0.5208333333333334,0.5085470085470085,0.14402207496978586,57.00916008203843,48.13348904787583,0.5208333333333334,0.5085470085470085,0.14402207496978586,57.00916008203843,48.13348904787583,0.0,0.0,0.0,0.0,0.0
