model,fold,test_year,contrast,treatment_arm,control_arm,balanced_accuracy_treatment,direction_accuracy_treatment,mcc_treatment,rmse_treatment,mae_treatment,balanced_accuracy_control,direction_accuracy_control,mcc_control,rmse_control,mae_control,balanced_accuracy_delta_pp,direction_accuracy_delta_pp,mcc_delta,rmse_delta,mae_delta
lstm,fold_1,2022,regime_routing,Regime-All,Global3-All,0.496205466938374,0.5125,-0.007908681828760145,12.855530324888441,10.634812162795011,0.5564261120089944,0.5458333333333333,0.11412232780536175,10.009635723576007,7.861778722355474,-6.0220645070620415,-3.3333333333333326,-0.12203100963412189,2.845894601312434,2.773033440439537
lstm,fold_2,2023,regime_routing,Regime-All,Global3-All,0.5381030701754386,0.5413223140495868,0.07659291593361134,11.020534920987723,8.627994883105586,0.5340597587719298,0.5289256198347108,0.06905335783341875,11.498401696226967,9.302349266430323,0.4043311403508776,1.2396694214875992,0.007539558100192592,-0.47786677523924403,-0.6743543833247365
lstm,fold_3,2024,regime_routing,Regime-All,Global3-All,0.49364021804966685,0.4918032786885246,-0.012760852916218207,9.524994116067143,7.460404338885518,0.5023891244363685,0.4918032786885246,0.0055750874922672194,10.48340802525862,8.457504427822586,-0.8748906386701671,0.0,-0.018335940408485428,-0.9584139091914778,-0.997100088937068
lstm,fold_4,2025,regime_routing,Regime-All,Global3-All,0.5230263157894737,0.5213675213675214,0.04642056790565327,16.51523119627968,12.672844552050805,0.5357456140350877,0.5341880341880342,0.07198492324495284,15.71535732780463,12.171842546956412,-1.271929824561402,-1.2820512820512775,-0.02556435533929957,0.7998738684750482,0.5010020050943922
lstm_attention,fold_1,2022,regime_routing,Regime-All,Global3-All,0.5099079474386902,0.5125,0.019723941272736495,17.478627228148245,14.279508375571467,0.48204623708804717,0.4583333333333333,-0.03978714144826077,22.071529137410035,16.996609499757206,2.7861710350643,5.416666666666664,0.05951108272099726,-4.592901909261791,-2.7171011241857386
lstm_attention,fold_2,2023,regime_routing,Regime-All,Global3-All,0.5039747807017544,0.5082644628099173,0.008025545592033115,19.193725006860014,15.20619772130078,0.5422834429824561,0.5330578512396694,0.08892423564377722,21.977791459688163,17.39005596305968,-3.8308662280701733,-2.4793388429752095,-0.0808986900517441,-2.7840664528281494,-2.1838582417589
lstm_attention,fold_3,2024,regime_routing,Regime-All,Global3-All,0.5151086883370348,0.5081967213114754,0.03205643612557677,13.766170963997087,10.893085108635871,0.5310586176727908,0.5163934426229508,0.0885318917741143,25.86973087961311,21.075582704682198,-1.5949929335756008,-0.8196721311475419,-0.05647545564853753,-12.103559915616021,-10.182497596046327
lstm_attention,fold_4,2025,regime_routing,Regime-All,Global3-All,0.4969298245614035,0.49145299145299143,-0.006789543895458469,19.377957983667248,15.037453290039165,0.5307017543859649,0.5256410256410257,0.06675952851006971,34.23671940818695,26.33295821082832,-3.3771929824561395,-3.4188034188034235,-0.07354907240552817,-14.858761424519702,-11.295504920789154
lstm_cnn,fold_1,2022,regime_routing,Regime-All,Global3-All,0.5195699529196823,0.5333333333333333,0.0402767119345622,18.153446923512952,14.26353209050761,0.49191904996135194,0.4875,-0.0161228609309845,23.496608188032866,18.0394255499332,2.7650902958330392,4.583333333333334,0.0563995728655467,-5.343161264519914,-3.775893459425589
lstm_cnn,fold_2,2023,regime_routing,Regime-All,Global3-All,0.5566063596491229,0.5578512396694215,0.11316232241349534,18.352174311096768,14.15339587720627,0.5546875,0.5578512396694215,0.1099301203507587,21.32858428459033,17.37335047055272,0.19188596491228616,0.0,0.003232202062736639,-2.9764099734935634,-3.219954593346449
lstm_cnn,fold_3,2024,regime_routing,Regime-All,Global3-All,0.5266841644794401,0.5163934426229508,0.061572662501882446,20.171688038274013,15.198461200591012,0.5163200753751934,0.5,0.053771838488355976,24.18626765795461,19.457161503144327,1.0364089104246688,1.6393442622950838,0.0078008240135264695,-4.014579619680596,-4.258700302553315
lstm_cnn,fold_4,2025,regime_routing,Regime-All,Global3-All,0.5243421052631578,0.5170940170940171,0.05894141362458967,22.735955156750304,18.242465324382014,0.5434210526315789,0.5384615384615384,0.09404801560780579,58.667120898265296,44.042908316688,-1.9078947368421084,-2.136752136752129,-0.03510660198321612,-35.93116574151499,-25.800442992305985
lstm_cnn_attention,fold_1,2022,regime_routing,Regime-All,Global3-All,0.5573396107090155,0.5458333333333333,0.11635514253862707,21.283205204693108,16.933705451379666,0.45797905979903025,0.44583333333333336,-0.08591889816758894,30.67348255865171,23.489224372064427,9.936055090998524,9.999999999999993,0.20227404070621602,-9.390277353958602,-6.5555189206847615
lstm_cnn_attention,fold_2,2023,regime_routing,Regime-All,Global3-All,0.5361156798245614,0.5371900826446281,0.07217203203365144,19.28487072394282,14.92131404367297,0.5188459429824561,0.5082644628099173,0.040394100746327155,28.263473455591473,22.527282986282497,1.726973684210531,2.892561983471076,0.031777931287324285,-8.978602731648653,-7.605968942609527
lstm_cnn_attention,fold_3,2024,regime_routing,Regime-All,Global3-All,0.5292751867555017,0.5204918032786885,0.0646696956580147,21.25213790980945,16.291840050511688,0.5469075980887005,0.5286885245901639,0.2015301585489144,40.57932060536132,33.47225846517675,-1.7632411333198816,-0.8196721311475419,-0.1368604628908997,-19.32718269555187,-17.180418414665063
lstm_cnn_attention,fold_4,2025,regime_routing,Regime-All,Global3-All,0.5271929824561403,0.5213675213675214,0.06098393434075911,26.65877952420851,21.805542868080323,0.5157894736842106,0.5042735042735043,0.07156053649930441,86.07799543063815,68.06097165596421,1.140350877192975,1.7094017094017144,-0.0105766021585453,-59.41921590642964,-46.255428787883886
