model,contrast,treatment_arm,control_arm,metric,test_years,point_estimate,ci95_lower,ci95_upper,two_sided_pvalue,replicates,block_length,folds,daily_rows,two_sided_pvalue_holm
lstm_attention,global_shap_specificity,Global-SHAP,Global-Spearman,balanced_accuracy_delta_pp,"2022,2023,2024,2025",0.0,0.0,0.0,1.0,10000,10,4,960,1.0
lstm_attention,regime_shap_reduction,Regime-SHAP,Regime-All,squared_error_loss_delta,"2022,2023,2024,2025",5.376329009948769,-22.24356916819928,32.058480063145886,0.6852,10000,10,4,962,1.0
lstm_attention,regime_shap_reduction,Regime-SHAP,Regime-All,balanced_accuracy_delta_pp,"2022,2023,2024,2025",-1.0347683501754914,-2.659603521235284,0.4567027952247981,0.1784,10000,10,4,960,0.7136
lstm_attention,regime_shap_specificity,Regime-SHAP,Regime-Spearman,squared_error_loss_delta,"2022,2023,2024,2025",19.975972186019945,-8.617936429516387,50.65116248951637,0.175,10000,10,4,962,0.35
lstm_attention,regime_shap_specificity,Regime-SHAP,Regime-Spearman,balanced_accuracy_delta_pp,"2022,2023,2024,2025",-1.1325978768828127,-2.766195114754388,0.43243409229265595,0.1682,10000,10,4,960,0.524
lstm_attention,regime_routing,Regime-All,Global3-All,squared_error_loss_delta,"2022,2023,2024,2025",-393.1643598703291,-567.7557915828124,-234.03574894739532,0.0,10000,10,4,962,0.0
lstm_attention,regime_routing,Regime-All,Global3-All,balanced_accuracy_delta_pp,"2022,2023,2024,2025",-1.5042202772594075,-5.558287957129571,2.5550193492441062,0.4556,10000,10,4,960,1.0
lstm_cnn_attention,global_shap_reduction,Global-SHAP,Global-All,squared_error_loss_delta,"2022,2023,2024,2025",0.0,0.0,0.0,1.0,10000,10,4,962,1.0
lstm_cnn_attention,global_shap_reduction,Global-SHAP,Global-All,balanced_accuracy_delta_pp,"2022,2023,2024,2025",0.0,0.0,0.0,1.0,10000,10,4,960,1.0
lstm_cnn_attention,global_shap_specificity,Global-SHAP,Global-Spearman,squared_error_loss_delta,"2022,2023,2024,2025",0.0,0.0,0.0,1.0,10000,10,4,962,1.0
lstm_cnn_attention,global_shap_specificity,Global-SHAP,Global-Spearman,balanced_accuracy_delta_pp,"2022,2023,2024,2025",0.0,0.0,0.0,1.0,10000,10,4,960,1.0
lstm_cnn_attention,regime_shap_reduction,Regime-SHAP,Regime-All,squared_error_loss_delta,"2022,2023,2024,2025",-5.826401118888025,-58.82848894157256,50.29625017552954,0.8446,10000,10,4,962,1.0
lstm_cnn_attention,regime_shap_reduction,Regime-SHAP,Regime-All,balanced_accuracy_delta_pp,"2022,2023,2024,2025",-0.739835990780604,-2.9032445048757376,1.2294759050373847,0.4804,10000,10,4,960,1.0
lstm_cnn_attention,regime_shap_specificity,Regime-SHAP,Regime-Spearman,squared_error_loss_delta,"2022,2023,2024,2025",-142.3612245934151,-233.6887901353084,-55.13605533875898,0.001,10000,10,4,962,0.004
lstm_cnn_attention,regime_shap_specificity,Regime-SHAP,Regime-Spearman,balanced_accuracy_delta_pp,"2022,2023,2024,2025",-0.35859502643661445,-2.1043692905535987,1.158086206705451,0.676,10000,10,4,960,1.0
lstm_cnn_attention,regime_routing,Regime-All,Global3-All,squared_error_loss_delta,"2022,2023,2024,2025",-2202.1410170295794,-3058.0567854371156,-1416.3184372044473,0.0,10000,10,4,962,0.0
lstm_cnn_attention,regime_routing,Regime-All,Global3-All,balanced_accuracy_delta_pp,"2022,2023,2024,2025",2.76003462977054,-1.1324142578002452,6.810998478269364,0.1656,10000,10,4,960,0.828
