model,contrast,metric,outer_folds,mean_delta,std_delta,ci95_lower,ci95_upper,positive_folds,negative_folds,zero_folds,exact_sign_flip_pvalue,exact_sign_flip_pvalue_holm,minimum_attainable_nonzero_pvalue
cnn,regime_shap_reduction,balanced_accuracy_delta_pp,4,1.4576586763109662,0.9746598433425738,-0.0932426323660196,3.008559984987952,4,0,0,0.125,0.625,0.125
cnn,regime_shap_reduction,direction_accuracy_delta_pp,4,1.4649598414501586,1.0090474774758476,-0.14065986682426956,3.0705795497245867,4,0,0,0.125,0.625,0.125
cnn,regime_shap_reduction,mcc_delta,4,0.03169440594776467,0.026095492630650783,-0.00982934610572174,0.07321815800125107,4,0,0,0.125,0.625,0.125
cnn,regime_shap_reduction,rmse_delta,4,0.5687898278723971,4.068183582569274,-5.904598077909315,7.042177733654109,2,2,0,0.875,1.0,0.125
cnn,regime_shap_reduction,mae_delta,4,0.5292243160254526,3.1938176552746285,-4.552852282363855,5.611300914414761,2,2,0,0.875,1.0,0.125
lstm,regime_shap_reduction,balanced_accuracy_delta_pp,4,-0.10131896903258913,1.0369330149448102,-1.7513107901514924,1.5486728520863142,2,1,1,1.0,1.0,0.125
lstm,regime_shap_reduction,direction_accuracy_delta_pp,4,-0.0937018355051153,0.8577264173233696,-1.45853596938261,1.2711322983723794,1,1,2,1.0,1.0,0.125
lstm,regime_shap_reduction,mcc_delta,4,-0.0015263614711395236,0.02147887936182713,-0.03570405160448013,0.03265132866220109,2,1,1,1.0,1.0,0.125
lstm,regime_shap_reduction,rmse_delta,4,0.8984149828142782,0.7948678100424048,-0.3663970798149234,2.16322704544348,3,1,0,0.25,1.0,0.125
lstm,regime_shap_reduction,mae_delta,4,0.5579826384103341,0.5690790307508017,-0.347549091003327,1.4635143678239952,3,1,0,0.25,1.0,0.125
lstm_attention,regime_shap_reduction,balanced_accuracy_delta_pp,4,-1.0347683501754912,0.7264919069963383,-2.190779092794997,0.12124239244401469,0,4,0,0.125,0.625,0.125
lstm_attention,regime_shap_reduction,direction_accuracy_delta_pp,4,-0.9378213378772232,0.6211371635879399,-1.926189173544644,0.05054649779019749,0,4,0,0.125,0.625,0.125
lstm_attention,regime_shap_reduction,mcc_delta,4,-0.021560395410295682,0.015540710316248296,-0.04628913347401008,0.0031683426534187126,0,4,0,0.125,0.625,0.125
lstm_attention,regime_shap_reduction,rmse_delta,4,0.22604429924396907,1.049164725090214,-1.4434109022547053,1.8954995007426434,3,1,0,0.625,1.0,0.125
lstm_attention,regime_shap_reduction,mae_delta,4,0.28373188483709955,0.6858365803955768,-0.8075871608170584,1.3750509304912575,3,1,0,0.375,1.0,0.125
lstm_cnn,regime_shap_reduction,balanced_accuracy_delta_pp,4,0.05345411362450425,1.5710026495395253,-2.4463616751844848,2.5532699024334935,2,2,0,1.0,1.0,0.125
lstm_cnn,regime_shap_reduction,direction_accuracy_delta_pp,4,0.09698650207219106,1.3388020317462794,-2.033346287646443,2.2273192917908253,2,2,0,1.0,1.0,0.125
lstm_cnn,regime_shap_reduction,mcc_delta,4,-0.0021156675447922234,0.035071390716491686,-0.057922076448222365,0.053690741358637925,2,2,0,1.0,1.0,0.125
lstm_cnn,regime_shap_reduction,rmse_delta,4,-0.9626131312743373,2.823006468712953,-5.454646384348109,3.5294201217994345,1,3,0,0.5,1.0,0.125
