protocol_id,market,stage,model,feature_set,sequence_window,seed,fold,train_start_year,train_end_year,test_year,n_train,n_test,rmse,mae,mape,r2,direction_accuracy,balanced_accuracy,mcc,direction_coverage,n_direction_evaluated,n_actual_ties,n_predicted_abstentions,direction_tn,direction_fp,direction_fn,direction_tp,predicted_up_share,runtime_seconds,training_sequences,feature_count,roc_auc,nrmse_percent,nmae_percent,fit_seconds,inference_seconds,total_model_seconds,trainable_parameters
track-a-final-point-in-time-v2,SET50,outer_test,cnn,full_ta_vmd,20,42,fold_3,2012.0,2023.0,2024,2842,244,24.458093162726588,19.933210614646093,2.359735266422467,0.6915280905755508,0.5368852459016393,0.5510801534423582,0.1407510267794647,1.0,244,0,0,26,101,12,105,0.8442622950819673,6.746744600000966,,,,,,,,,
track-a-final-point-in-time-v2,SET50,outer_test,cnn,full_ta_vmd,20,123,fold_3,2012.0,2023.0,2024,2842,244,19.44768753994609,15.55018552209513,1.8301743545605047,0.8049677781740612,0.5245901639344263,0.5396056262197995,0.1157133518495904,1.0,244,0,0,22,105,11,106,0.8647540983606558,6.816130699997302,,,,,,,,,
track-a-final-point-in-time-v2,SET50,outer_test,cnn,full_ta_vmd,20,456,fold_3,2012.0,2023.0,2024,2842,244,26.92289650835353,23.81070189057807,2.770990350025838,0.626221776620906,0.4795081967213114,0.4989905108015344,-0.0065127192892501,1.0,244,0,0,3,124,3,114,0.9754098360655736,6.586049400000775,,,,,,,,,
track-a-final-point-in-time-v2,SET50,outer_test,cnn,full_ta_vmd,20,789,fold_3,2012.0,2023.0,2024,2842,244,22.36927881652032,18.721641511448123,2.200875711452724,0.7419675076384509,0.5081967213114754,0.524867083922202,0.0850334093615905,1.0,244,0,0,15,112,8,109,0.9057377049180328,6.661527299998852,,,,,,,,,
track-a-final-point-in-time-v2,SET50,outer_test,cnn,full_ta_vmd,20,2025,fold_3,2012.0,2023.0,2024,2842,244,22.7697431172888,18.308563774042472,2.1626689029547856,0.7326459951956255,0.5163934426229508,0.5327410996702335,0.1078762862869492,1.0,244,0,0,17,110,8,109,0.8975409836065574,6.97957999999926,,,,,,,,,
track-a-final-point-in-time-v2,SET50,outer_test,cnn,full_ta_vmd,20,42,fold_4,2012.0,2024.0,2025,3086,234,24.25630557583366,19.12544245016373,2.46705356539782,0.7728733902846073,0.4871794871794871,0.4929824561403508,-0.0157377895072926,1.0,234,0,0,32,88,32,82,0.7264957264957265,7.240170500001113,,,,,,,,,
track-a-final-point-in-time-v2,SET50,outer_test,cnn,full_ta_vmd,20,123,fold_4,2012.0,2024.0,2025,3086,234,29.17259146713669,22.307324020067863,2.8918983946207506,0.6714747696964265,0.5641025641025641,0.5666666666666667,0.1359420581023188,1.0,234,0,0,56,64,38,76,0.5982905982905983,7.276226200003293,,,,,,,,,
track-a-final-point-in-time-v2,SET50,outer_test,cnn,full_ta_vmd,20,456,fold_4,2012.0,2024.0,2025,3086,234,24.328513065383586,19.73064348942195,2.516470068631312,0.7715191318784572,0.5427350427350427,0.5442982456140351,0.0892083097882237,1.0,234,0,0,58,62,45,69,0.5598290598290598,7.066331199996057,,,,,,,,,
track-a-final-point-in-time-v2,SET50,outer_test,cnn,full_ta_vmd,20,789,fold_4,2012.0,2024.0,2025,3086,234,24.31508537129041,19.33982370596668,2.494454432278196,0.7717712742546651,0.5256410256410257,0.5300438596491228,0.0639195310456749,1.0,234,0,0,43,77,34,80,0.6709401709401709,7.182289500000479,,,,,,,,,
track-a-final-point-in-time-v2,SET50,outer_test,cnn,full_ta_vmd,20,2025,fold_4,2012.0,2024.0,2025,3086,234,29.953481427154884,23.522087382445,3.062747613790428,0.6536514916756951,0.5427350427350427,0.55,0.1210688496072652,1.0,234,0,0,32,88,19,95,0.782051282051282,7.042735499999253,,,,,,,,,
track-a-final-point-in-time-v2,SET50,outer_test,lstm,full_ta_vmd,5,42,fold_1,2012.0,2021.0,2022,2358,241,12.266725033659252,9.371475356327544,0.9567249453116736,0.6962290152619686,0.5166666666666667,0.5346778160354156,0.0729051775136264,1.0,240,1,0,75,32,84,49,0.3375,7.011045599996578,,,,,,,,,
track-a-final-point-in-time-v2,SET50,outer_test,lstm,full_ta_vmd,5,123,fold_1,2012.0,2021.0,2022,2358,241,10.252861830580317,7.987819438673147,0.8134882686004028,0.787783455926206,0.5833333333333334,0.6003091841753917,0.2085033760148754,1.0,240,1,0,81,26,74,59,0.3541666666666667,7.475404199998593,,,,,,,,,
track-a-final-point-in-time-v2,SET50,outer_test,lstm,full_ta_vmd,5,456,fold_1,2012.0,2021.0,2022,2358,241,11.472764840774548,8.626180229285941,0.8813568297490245,0.7342794076052965,0.55,0.5373480430047081,0.0765247157040023,1.0,240,1,0,45,62,46,87,0.6208333333333333,7.158069900004193,,,,,,,,,
track-a-final-point-in-time-v2,SET50,outer_test,lstm,full_ta_vmd,5,789,fold_1,2012.0,2021.0,2022,2358,241,15.236144700302876,11.290601180796797,1.1506238383713487,0.531360160712111,0.5083333333333333,0.5298995151429977,0.0646088759160199,1.0,240,1,0,78,29,89,44,0.3041666666666666,7.13654530000349,,,,,,,,,
track-a-final-point-in-time-v2,SET50,outer_test,lstm,full_ta_vmd,5,2025,fold_1,2012.0,2021.0,2022,2358,241,10.85306395755348,8.503066194720285,0.8659985578294245,0.7622099090941674,0.55,0.5729744923055302,0.1589447766991238,1.0,240,1,0,84,23,85,48,0.2958333333333333,7.197215399995912,,,,,,,,,
track-a-final-point-in-time-v2,SET50,outer_test,lstm,full_ta_vmd,5,42,fold_2,2012.0,2022.0,2023,2599,243,12.796230922706329,10.471743611170922,1.126217055640103,0.9172907849358394,0.4710743801652892,0.4736156798245614,-0.052899309903855,1.0,242,1,0,55,73,55,59,0.5454545454545454,7.376271699999052,,,,,,,,,
track-a-final-point-in-time-v2,SET50,outer_test,lstm,full_ta_vmd,5,123,fold_2,2012.0,2022.0,2023,2599,243,14.004489507900736,11.659939022319325,1.260172029498153,0.900934068687162,0.5165289256198347,0.5338541666666667,0.0841051983889117,1.0,242,1,0,30,98,19,95,0.7975206611570248,7.444693299999926,,,,,,,,,
track-a-final-point-in-time-v2,SET50,outer_test,lstm,full_ta_vmd,5,456,fold_2,2012.0,2022.0,2023,2599,243,11.993627127219836,9.26088997795748,0.999724431206688,0.9273407606137928,0.5661157024793388,0.5629797149122807,0.1265987225593324,1.0,242,1,0,79,49,56,58,0.4421487603305785,7.517084900006012,,,,,,,,,
track-a-final-point-in-time-v2,SET50,outer_test,lstm,full_ta_vmd,5,789,fold_2,2012.0,2022.0,2023,2599,243,11.87331454411623,9.667547569255282,1.039807586336577,0.9287911933209536,0.5247933884297521,0.5267955043859649,0.0536185747470935,1.0,242,1,0,63,65,50,64,0.5330578512396694,7.476360900000145,,,,,,,,,
